array,framework,interface,stage,seconds,tool_processes,source
4x4,spmw_kernel,512b,hls_csynth_export,91.8,8,cost.json
4x4,spmw_kernel,512b,hls_sum_of_jobs,687.4,1,cost.json
4x4,spmw_kernel,512b,pnr,335.3,1,cost.json
4x4,spmw_mesh,streams,hls_csynth_export,80.8,8,cost.json
4x4,spmw_mesh,streams,hls_sum_of_jobs,375.3,1,cost.json
4x4,spmw_mesh,streams,pnr,316.1,1,cost.json
4x4,allo,32b,csim,7.9,1,stages.txt
4x4,allo,32b,csynth,59.6,1,stages.txt
4x4,allo,32b,cosim,50.9,1,stages.txt
4x4,allo,32b,export_impl,1123.8,1,stages.txt
4x4,autosa,narrow,hls_csynth_cosim,87.0,1,build_hls.log
4x4,autosa,narrow,pnr,369.0,1,build_pnr.log
8x8,spmw_kernel,512b,hls_csynth_export,99.0,8,cost.json
8x8,spmw_kernel,512b,hls_sum_of_jobs,737.4,1,cost.json
8x8,spmw_kernel,512b,pnr,531.4,1,cost.json
8x8,spmw_mesh,streams,hls_csynth_export,84.5,8,cost.json
8x8,spmw_mesh,streams,hls_sum_of_jobs,387.5,1,cost.json
8x8,spmw_mesh,streams,pnr,461.9,1,cost.json
8x8,allo,32b,csim,7.0,1,stages.txt
8x8,allo,32b,csynth,79.6,1,stages.txt
8x8,allo,32b,cosim,231.7,1,stages.txt
8x8,allo,32b,export_impl,1279.6,1,stages.txt
8x8,autosa,narrow,hls_csynth_cosim,284.0,1,build_hls.log
8x8,autosa,narrow,pnr,518.0,1,build_pnr.log
16x16,spmw_kernel,512b,hls_csynth_export,105.4,8,cost.json
16x16,spmw_kernel,512b,hls_sum_of_jobs,788.6,1,cost.json
16x16,spmw_kernel,512b,pnr,2055.4,1,cost.json
16x16,spmw_mesh,streams,hls_csynth_export,106.1,8,cost.json
16x16,spmw_mesh,streams,hls_sum_of_jobs,507.9,1,cost.json
16x16,spmw_mesh,streams,pnr,1745.8,1,cost.json
16x16,allo,32b,csim,7.1,1,stages.txt
16x16,allo,32b,csynth,423.3,1,stages.txt
16x16,allo,32b,cosim,131.3,1,stages.txt
16x16,autosa,narrow,hls_csynth_cosim,2533.0,1,build_hls.log
32x32,spmw_kernel,512b,hls_csynth_export,110.6,8,cost.json
32x32,spmw_kernel,512b,hls_sum_of_jobs,820.8,1,cost.json
32x32,spmw_kernel,512b,pnr,5247.1,1,cost.json
32x32,spmw_mesh,streams,hls_csynth_export,109.5,8,cost.json
32x32,spmw_mesh,streams,hls_sum_of_jobs,538.1,1,cost.json
32x32,spmw_mesh,streams,pnr,4187.5,1,cost.json
32x32,allo,32b,cosim,1123.9,1,stages.txt
