array,system,workload,cycles,lut,ff,dsp,bram_tiles,wns_ns,achieved_ns,fmax_mhz,scope,source
4x4,SPMW mesh,4^3,16,560,1021,16,0,1.167,2.166,462,array,"e1_spmw_4_{cosim,pnr}"
4x4,SPMW kernel,4^3,66,1867,2516,16,0,1.301,2.032,492,kernel,e1_memsim_4 / e1_spmwmem_4_pnr
4x4,AutoSA,4^3,148,4974,8171,16,1.5,0.512,2.821,354,kernel,e1_autosa_matched/S4
8x8,SPMW mesh,8^3,28,2225,4301,64,0,0.996,2.337,428,array,"e1_spmw_8_{cosim,pnr}"
8x8,SPMW kernel,8^3,100,8015,10220,64,0,1.232,2.101,476,kernel,e1_memsim_8 / e1_spmwmem_8_pnr
8x8,AutoSA,8^3,292,13393,22924,64,2.5,0.69,2.643,378,kernel,e1_autosa_matched/S8
16x16,SPMW mesh,16^3,52,9026,18048,256,0,0.428,2.905,344,array,"e1_spmw_16_{cosim,pnr}"
16x16,SPMW kernel,16^3,152,32756,40732,256,0,0.541,2.792,358,kernel,e1_memsim_16 / e1_spmwmem_16_pnr
16x16,AutoSA,16^3,859,,,256,,,,,kernel,e1_autosa_matched/S16
32x32,SPMW mesh,32^3,100,37917,74945,1024,0,0.431,2.902,345,array,"e1_spmw_32_{cosim,pnr}"
32x32,SPMW kernel,32^3,298,137741,163708,1024,0,0.529,2.804,357,kernel,e1_memsim_32 / e1_spmwmem_32_pnr
32x32,AutoSA,32^3,,,,1024,,,,,kernel,"e1_autosa_matched/S32, building"
