n,framework,config,transforms,samples_per_cycle,first_output_cycles,completion_cycles,steady_interval_cycles,pct_of_ideal,steady_interval_measured,full_transform_latency,ideal_interval_cycles,lut,ff,dsp,bram_18k_equiv,wns_ns,achieved_ns,fmax_mhz
1024,allo,"strided, wrap_io",6,,,130299,130258.0,,,130299,,4320,7561,16,12,0.438,2.895,345
1024,hpfft,"UF1, 2 samples/beat",33,2,6298,6809,525.5,97.4,525.5,6809,512,29316,28835,96,104,0.261,3.072,326
1024,spmw,"folded SDF, 1 sample/cycle",33,1,4107,37902,1024.0,100.0,1024.0,4614,1024,15423,35587,199,31,0.431,2.902,345
128,allo,"strided, wrap_io",6,,,11586,11545.0,,,11586,,4340,7622,16,10,0.697,2.636,379
128,hpfft,"UF1, 2 samples/beat",33,2,679,742,76.0,84.2,76.0,742,64,19874,19159,60,68,0.313,3.02,331
128,spmw,"folded SDF, 1 sample/cycle",33,1,522,4749,128.0,100.0,128.0,581,128,10930,25425,139,12,0.461,2.872,348
256,allo,"strided, wrap_io",6,,,26261,26220.0,,,26261,,4422,7646,16,10,0.671,2.662,376
256,hpfft,"UF1, 2 samples/beat",33,2,1400,1527,140.5,91.1,140.5,1527,128,22403,22244,72,82,0.283,3.05,328
256,spmw,"folded SDF, 1 sample/cycle",33,1,1035,9486,256.0,100.0,256.0,1158,256,12361,28865,159,18,0.388,2.945,340
512,allo,"strided, wrap_io",6,,,58808,58767.0,,,58808,,4316,7542,16,12,0.694,2.639,379
512,hpfft,"UF1, 2 samples/beat",33,2,2953,3208,269.0,95.2,269.0,3208,256,25881,25518,84,92,0.179,3.154,317
512,spmw,"folded SDF, 1 sample/cycle",33,1,2059,18958,512.0,100.0,512.0,2310,512,13864,32222,179,24,0.129,3.204,312
256,spmw,"rolled W=1, 1 sample/cycle",33,1,,,256.0,100.0,256.0,1158,256,12304,29792,159,8,0.411,2.922,342
256,spmw,"rolled W=2, 2 samples/cycle",33,2,,,128.0,100.0,128.0,581,128,24318,55109,318,12,0.335,2.998,334
256,spmw,"rolled W=4, 4 samples/cycle",33,4,,,64.0,100.0,64.0,368,64,45150,104820,604,24,0.293,3.040,329
256,spmw,"rolled W=8, 8 samples/cycle",33,8,,,32.0,100.0,32.0,271,32,89039,208553,1208,24,0.285,3.048,328
256,hpfft,"UF2, 4 samples/beat",32,4,703,766,74.5,85.9,74.5,766,64,45482,37809,132,104,0.317,3.016,332
256,hpfft,"UF4, 8 samples/beat",32,8,782,813,400.0,8.0,400.0,813,32,86402,68295,246,294,0.011,3.322,301
256,spmw,"rolled W=16, 16 samples/cycle",33,16,,,16.0,100.0,16.0,222,16,174629,411319,2356,48,0.015,3.318,301
256,hpfft,"UF4 fixed, 8 samples/beat",32,8,377,408,42.0,76.2,42.0,408,32,,,,,,,
256,hpfft,"UF8, 16 samples/beat",32,16,284,299,57.0,28.1,57.0,299,16,,,,,,,
256,hpfft,"UF8 fixed, 16 samples/beat",32,16,254,269,26.0,61.5,26.0,269,16,,,,,,,
256,spmw,"rolled W=1 fabric-bound, 1 sample/cycle",33,1,,,256.0,100.0,256.0,1158,256,18496,25143,87,4,0.253,3.08,325
256,spmw,"rolled W=2 fabric-bound, 2 samples/cycle",33,2,,,128.0,100.0,128.0,581,128,36567,46704,174,12,0.345,2.988,335
256,spmw,"paired W=2 fabric-bound, 2 samples/cycle",32,2,1052,5147,128.0,100.0,128.0,919,128,21266,24582,72,44,0.432,2.901,345
256,spmw,"paired W=2 general twiddle, 2 samples/cycle",32,2,1065,5160,128.0,100.0,128.0,932,128,23523,26786,96,44,0.274,3.059,327
256,spmw,"paired W=2 banked-buffer variant, 2 samples/cycle",32,2,2765,19145,512.0,25.0,512.0,3272,128,,,,,,,
256,spmw,"lanes W=2 unrolled, 2 samples/cycle",32,2,586,5147,128.0,100.0,128.0,645,128,24012,28614,72,10,0.443,2.890,346
256,spmw,"lanes W=4 unrolled, 4 samples/cycle",32,4,349,5147,64.0,100.0,64.0,376,64,45711,54192,144,20,0.241,3.092,323
256,spmw,"lanes W=8 unrolled, 8 samples/cycle",32,8,249,5147,32.0,100.0,32.0,260,32,87021,102464,258,40,0.292,3.041,329
