array,design,scale_form,lut,ff,dsp,bram_tiles,wns_ns,unrouted,top,note,bram_18k_equiv,tiles,latency_cycles,interval_cycles,harness,correct
4x4,MXU only,--,1932,1372,0,0,0.592,0,MxuOnly,MeshWithDelays alone,0,,,,,
8x8,MXU only,--,7535,4759,0,0,0.432,0,MxuOnly,MeshWithDelays alone,0,,,,,
16x16,MXU only,--,30357,18536,0,0,0.207,0,MxuOnly,MeshWithDelays alone,0,,,,,
4x4,MXU + VPU,shift,2132,1378,0,0,0.591,0,MxuVpu,requantise by arithmetic shift then ReLU,0,16,22,6,xsim on the emitted Verilog,True
8x8,MXU + VPU,shift,8042,4818,0,0,0.456,0,MxuVpu,requantise by arithmetic shift then ReLU,0,16,38,10,xsim on the emitted Verilog,True
16x16,MXU + VPU,shift,31932,18675,0,0,0.245,0,MxuVpu,requantise by arithmetic shift then ReLU,0,16,70,18,xsim on the emitted Verilog,True
4x4,MXU + VPU,multiply,2436,1403,16,0,-1.373,0,MxuVpu,multiply-then-shift scale; misses timing,0,,,,,
8x8,MXU + VPU,multiply,8585,4882,32,0,-1.280,0,MxuVpu,multiply-then-shift scale; misses timing,0,,,,,
32x32,MXU only,--,118562,74940,0,0,0.010,0,MxuOnly,MeshWithDelays alone,0,,,,,
32x32,MXU + VPU,shift,122484,75295,0,0,0.060,0,MxuVpu,requantise by arithmetic shift then ReLU,0,16,134,34,xsim on the emitted Verilog,True
