SPMW COSIM PASS (256/256 tokens, 0 errors)
SPMW CYCLES total=163 first_out=55 first_in=1
SPMW XFORM 1 done_cycle=68 first_in=1
SPMW XFORM 10 done_cycle=127 first_in=1
SPMW XFORM 11 done_cycle=133 first_in=1
SPMW XFORM 12 done_cycle=139 first_in=1
SPMW XFORM 13 done_cycle=144 first_in=1
SPMW XFORM 14 done_cycle=149 first_in=1
SPMW XFORM 15 done_cycle=154 first_in=1
SPMW XFORM 16 done_cycle=163 first_in=1
SPMW XFORM 2 done_cycle=75 first_in=1
SPMW XFORM 3 done_cycle=82 first_in=1
SPMW XFORM 4 done_cycle=88 first_in=1
SPMW XFORM 5 done_cycle=95 first_in=1
SPMW XFORM 6 done_cycle=101 first_in=1
SPMW XFORM 7 done_cycle=107 first_in=1
SPMW XFORM 8 done_cycle=114 first_in=1
SPMW XFORM 9 done_cycle=120 first_in=1
