SPMW COSIM PASS (256/256 tokens, 0 errors)
SPMW CYCLES total=1527 first_out=75 first_in=1
SPMW XFORM 1 done_cycle=147 first_in=1
SPMW XFORM 10 done_cycle=975 first_in=1
SPMW XFORM 11 done_cycle=1067 first_in=1
SPMW XFORM 12 done_cycle=1159 first_in=1
SPMW XFORM 13 done_cycle=1251 first_in=1
SPMW XFORM 14 done_cycle=1343 first_in=1
SPMW XFORM 15 done_cycle=1435 first_in=1
SPMW XFORM 16 done_cycle=1527 first_in=1
SPMW XFORM 2 done_cycle=239 first_in=1
SPMW XFORM 3 done_cycle=331 first_in=1
SPMW XFORM 4 done_cycle=423 first_in=1
SPMW XFORM 5 done_cycle=515 first_in=1
SPMW XFORM 6 done_cycle=607 first_in=1
SPMW XFORM 7 done_cycle=699 first_in=1
SPMW XFORM 8 done_cycle=791 first_in=1
SPMW XFORM 9 done_cycle=883 first_in=1
