array,framework,interface,stage,seconds,tool_processes,source
4x4,allo,32b,cosim,50.9,1,stages.txt
4x4,allo,32b,csim,7.9,1,stages.txt
4x4,allo,32b,csynth,59.6,1,stages.txt
4x4,allo,32b,export_impl,1123.8,1,stages.txt
4x4,autosa,narrow,cosim,42.1,1,cosim.log
4x4,autosa,narrow,hls_csynth,40.8,1,cosim.log
4x4,autosa,narrow,pnr,369.0,1,build_pnr.log
4x4,spmw_kernel,512b,hls_csynth_export,91.8,8,cost.json
4x4,spmw_kernel,512b,hls_sum_of_jobs,687.4,1,cost.json
4x4,spmw_kernel,512b,pnr,335.3,1,cost.json
4x4,spmw_mesh,streams,hls_csynth_export,80.8,8,cost.json
4x4,spmw_mesh,streams,hls_sum_of_jobs,375.3,1,cost.json
4x4,spmw_mesh,streams,pnr,316.1,1,cost.json
8x8,allo,32b,cosim,231.7,1,stages.txt
8x8,allo,32b,csim,7.0,1,stages.txt
8x8,allo,32b,csynth,79.6,1,stages.txt
8x8,allo,32b,export_impl,1279.6,1,stages.txt
8x8,autosa,narrow,cosim,108.3,1,cosim.log
8x8,autosa,narrow,hls_csynth,171.0,1,cosim.log
8x8,autosa,narrow,pnr,518.0,1,build_pnr.log
8x8,autosa,wide,cosim,121.3,1,cosim.log
8x8,autosa,wide,hls_csynth,182.4,1,cosim.log
8x8,autosa,wide,pnr,578.0,1,chain_wide.log
8x8,spmw_kernel,512b,hls_csynth_export,99.0,8,cost.json
8x8,spmw_kernel,512b,hls_sum_of_jobs,737.4,1,cost.json
8x8,spmw_kernel,512b,pnr,531.4,1,cost.json
8x8,spmw_mesh,streams,hls_csynth_export,84.5,8,cost.json
8x8,spmw_mesh,streams,hls_sum_of_jobs,387.5,1,cost.json
8x8,spmw_mesh,streams,pnr,461.9,1,cost.json
16x16,allo,32b,cosim,131.3,1,stages.txt
16x16,allo,32b,csim,7.1,1,stages.txt
16x16,allo,32b,csynth,423.3,1,stages.txt
16x16,autosa,narrow,cosim,851.0,1,cosim.log
16x16,autosa,narrow,hls_csynth,1676.7,1,cosim.log
16x16,autosa,narrow,pnr,1167.0,1,pnr_S16.log
16x16,autosa,wide,cosim,862.1,1,cosim.log
16x16,autosa,wide,hls_csynth,1783.4,1,cosim.log
16x16,autosa,wide,pnr,1278.0,1,chain_wide.log
16x16,spmw_kernel,512b,hls_csynth_export,105.4,8,cost.json
16x16,spmw_kernel,512b,hls_sum_of_jobs,788.6,1,cost.json
16x16,spmw_kernel,512b,pnr,2055.4,1,cost.json
16x16,spmw_mesh,streams,hls_csynth_export,106.1,8,cost.json
16x16,spmw_mesh,streams,hls_sum_of_jobs,507.9,1,cost.json
16x16,spmw_mesh,streams,pnr,1745.8,1,cost.json
32x32,allo,32b,cosim,1123.9,1,stages.txt
32x32,autosa,narrow,cosim,13885.7,1,cosim.log
32x32,autosa,narrow,hls_csynth,34968.2,1,cosim.log
32x32,autosa,wide,cosim,14937.6,1,cosim.log
32x32,autosa,wide,hls_csynth,35022.9,1,cosim.log
32x32,spmw_kernel,512b,hls_csynth_export,110.6,8,cost.json
32x32,spmw_kernel,512b,hls_sum_of_jobs,820.8,1,cost.json
32x32,spmw_kernel,512b,pnr,5247.1,1,cost.json
32x32,spmw_mesh,streams,hls_csynth_export,109.5,8,cost.json
32x32,spmw_mesh,streams,hls_sum_of_jobs,538.1,1,cost.json
32x32,spmw_mesh,streams,pnr,4187.5,1,cost.json
