run_id,experiment_id,system,design,size,mode,workers,roles,instances,projects,repetitions,completed_jobs,status,timed_out_repetitions,completed_jobs_when_timed_out,timeout_s,frontend_s_median,hls_wall_s_median,hls_wall_s_min,hls_wall_s_max,hls_sum_job_elapsed_s_median,cpu_s_median,load_start,report_paths,failure_reason
gemm8_4_per-instance,E5,SPMW split backend,gemm8,4,per-instance,8,9,16,16,1,16,pass,0,,,0.74,83.0,83.0,83.0,662.2,450.7,2.9,reports/gemm8_4_per-instance_r0,
gemm8_4_shared-parallel,E5,SPMW split backend,gemm8,4,shared-parallel,8,9,16,9,3,9,pass,0,,,0.75,79.7,79.7,79.9,370.4,251.4,1.0,reports/gemm8_4_shared-parallel_r0,
gemm8_4_shared-serial,E5,SPMW split backend,gemm8,4,shared-serial,1,9,16,9,3,9,pass,0,,,0.75,347.6,347.5,348.2,347.6,228.0,4.9,reports/gemm8_4_shared-serial_r0,
gemm8_8_per-instance,E5,SPMW split backend,gemm8,8,per-instance,8,9,64,64,1,64,pass,0,,,0.8,332.0,332.0,332.0,2647.9,1800.6,1.9,reports/gemm8_8_per-instance_r0,
gemm8_8_shared-parallel,E5,SPMW split backend,gemm8,8,shared-parallel,8,9,64,9,3,9,pass,0,,,0.79,79.8,79.7,80.0,370.6,251.9,0.8,reports/gemm8_8_shared-parallel_r0,
gemm8_8_shared-serial,E5,SPMW split backend,gemm8,8,shared-serial,1,9,64,9,3,9,pass,0,,,0.8,347.8,347.2,348.6,347.8,228.3,2.6,reports/gemm8_8_shared-serial_r0,
gemm8_16_per-instance,E5,SPMW split backend,gemm8,16,per-instance,8,9,256,256,1,256,pass,0,,,0.94,1326.0,1326.0,1326.0,10595.9,7199.5,4.9,reports/gemm8_16_per-instance_r0,
gemm8_16_shared-parallel,E5,SPMW split backend,gemm8,16,shared-parallel,8,9,256,9,3,9,pass,0,,,0.96,79.8,79.7,80.0,370.4,251.8,1.1,reports/gemm8_16_shared-parallel_r0,
gemm8_16_shared-serial,E5,SPMW split backend,gemm8,16,shared-serial,1,9,256,9,3,9,pass,0,,,0.96,347.5,347.3,347.7,347.5,227.9,5.0,reports/gemm8_16_shared-serial_r0,
gemm8_32_per-instance,E5,SPMW split backend,gemm8,32,per-instance,,,,,1,697,timeout,1,697,3600,,,,,,,,reports/gemm8_32_per-instance_r0,timeout_or_fail
gemm8_32_shared-parallel,E5,SPMW split backend,gemm8,32,shared-parallel,8,9,1024,9,3,9,pass,0,,,1.63,79.7,79.6,79.9,370.9,252.1,1.9,reports/gemm8_32_shared-parallel_r0,
gemm8_32_shared-serial,E5,SPMW split backend,gemm8,32,shared-serial,1,9,1024,9,3,9,pass,0,,,1.61,348.1,346.4,349.2,348.1,228.6,2.9,reports/gemm8_32_shared-serial_r0,
