run_id,experiment_id,system,design,size,mode,workers,roles,instances,projects,repetitions,completed_jobs,status,timed_out_repetitions,completed_jobs_when_timed_out,timeout_s,frontend_s_median,hls_wall_s_median,hls_wall_s_min,hls_wall_s_max,hls_sum_job_elapsed_s_median,cpu_s_median,load_start,report_paths,failure_reason
fftsdf_128_per-instance,E5,SPMW split backend,fftsdf,128,per-instance,8,8,8,8,3,8,pass,0,,,2.01,47.8,47.3,48.8,376.1,271.6,4.2,reports/fftsdf_128_per-instance_r0,
fftsdf_128_shared-parallel,E5,SPMW split backend,fftsdf,128,shared-parallel,8,8,8,8,3,8,pass,0,,,2.0,47.5,47.4,48.8,374.5,270.1,6.6,reports/fftsdf_128_shared-parallel_r0,
fftsdf_128_shared-serial,E5,SPMW split backend,fftsdf,128,shared-serial,1,8,8,8,3,8,pass,0,,,2.22,351.3,350.4,377.7,351.2,245.9,5.2,reports/fftsdf_128_shared-serial_r0,
fftsdf_256_per-instance,E5,SPMW split backend,fftsdf,256,per-instance,8,9,9,9,3,9,pass,0,,,2.28,88.2,88.0,90.3,419.1,301.1,4.0,reports/fftsdf_256_per-instance_r0,
fftsdf_256_shared-parallel,E5,SPMW split backend,fftsdf,256,shared-parallel,8,9,9,9,3,9,pass,0,,,2.33,88.5,88.5,91.0,420.5,302.9,7.3,reports/fftsdf_256_shared-parallel_r0,
fftsdf_256_shared-serial,E5,SPMW split backend,fftsdf,256,shared-serial,1,9,9,9,3,9,pass,0,,,2.3,400.9,396.8,407.6,400.8,282.4,6.7,reports/fftsdf_256_shared-serial_r0,
fftsdf_512_per-instance,E5,SPMW split backend,fftsdf,512,per-instance,8,10,10,10,3,10,pass,0,,,2.61,91.3,91.1,92.4,467.1,336.1,5.6,reports/fftsdf_512_per-instance_r0,
fftsdf_512_shared-parallel,E5,SPMW split backend,fftsdf,512,shared-parallel,8,10,10,10,3,10,pass,0,,,2.56,92.2,91.0,93.5,471.9,341.1,4.7,reports/fftsdf_512_shared-parallel_r0,
fftsdf_512_shared-serial,E5,SPMW split backend,fftsdf,512,shared-serial,1,10,10,10,3,10,pass,0,,,2.59,443.3,442.3,449.4,443.2,311.5,5.8,reports/fftsdf_512_shared-serial_r0,
fftsdf_1024_per-instance,E5,SPMW split backend,fftsdf,1024,per-instance,8,11,11,11,3,11,pass,0,,,3.1,93.0,92.8,95.2,513.2,369.6,4.3,reports/fftsdf_1024_per-instance_r0,
fftsdf_1024_shared-parallel,E5,SPMW split backend,fftsdf,1024,shared-parallel,8,11,11,11,3,11,pass,0,,,3.06,92.9,92.2,95.0,512.7,368.8,6.1,reports/fftsdf_1024_shared-parallel_r0,
fftsdf_1024_shared-serial,E5,SPMW split backend,fftsdf,1024,shared-serial,1,11,11,11,3,11,pass,0,,,3.03,490.0,485.9,498.5,490.1,345.0,6.8,reports/fftsdf_1024_shared-serial_r0,
gemm8_4_per-instance,E5,SPMW split backend,gemm8,4,per-instance,8,9,16,16,3,16,pass,0,,,1.17,85.4,84.8,87.7,680.1,469.4,11.1,reports/gemm8_4_per-instance_r0,
gemm8_4_shared-parallel,E5,SPMW split backend,gemm8,4,shared-parallel,8,9,16,9,3,9,pass,0,,,1.1,82.0,82.0,84.4,378.7,260.4,9.8,reports/gemm8_4_shared-parallel_r0,
gemm8_4_shared-serial,E5,SPMW split backend,gemm8,4,shared-serial,1,9,16,9,3,9,pass,0,,,1.08,361.0,359.5,375.6,361.1,241.6,11.1,reports/gemm8_4_shared-serial_r0,
gemm8_8_per-instance,E5,SPMW split backend,gemm8,8,per-instance,8,9,64,64,3,64,pass,0,,,1.13,339.1,338.1,352.3,2709.2,1864.5,11.2,reports/gemm8_8_per-instance_r0,
gemm8_8_shared-parallel,E5,SPMW split backend,gemm8,8,shared-parallel,8,9,64,9,3,9,pass,0,,,1.15,82.4,81.9,83.0,379.3,260.8,16.9,reports/gemm8_8_shared-parallel_r0,
gemm8_8_shared-serial,E5,SPMW split backend,gemm8,8,shared-serial,1,9,64,9,3,9,pass,0,,,1.13,364.4,361.9,371.5,364.5,244.7,15.0,reports/gemm8_8_shared-serial_r0,
gemm8_16_per-instance,E5,SPMW split backend,gemm8,16,per-instance,8,9,256,256,3,256,pass,0,,,1.31,1377.7,1354.5,1391.6,11009.7,7617.3,15.2,reports/gemm8_16_per-instance_r0,
gemm8_16_shared-parallel,E5,SPMW split backend,gemm8,16,shared-parallel,8,9,256,9,3,9,pass,0,,,1.28,82.4,82.1,87.0,378.7,260.1,11.8,reports/gemm8_16_shared-parallel_r0,
gemm8_16_shared-serial,E5,SPMW split backend,gemm8,16,shared-serial,1,9,256,9,3,9,pass,0,,,1.29,361.5,360.7,376.2,361.4,242.1,8.8,reports/gemm8_16_shared-serial_r0,
gemm8_32_per-instance,E5,SPMW split backend,gemm8,32,per-instance,,,,,3,665,timeout,3,"665, 680, 658",3600,,,,,,,,reports/gemm8_32_per-instance_r0,timeout_or_fail
gemm8_32_shared-parallel,E5,SPMW split backend,gemm8,32,shared-parallel,8,9,1024,9,3,9,pass,0,,,1.95,82.2,81.9,84.3,378.4,259.7,4.1,reports/gemm8_32_shared-parallel_r0,
gemm8_32_shared-serial,E5,SPMW split backend,gemm8,32,shared-serial,1,9,1024,9,3,9,pass,0,,,1.95,363.2,361.0,372.7,363.3,243.5,12.0,reports/gemm8_32_shared-serial_r0,
