run_id,experiment_id,system,workload,kind,in_paper_table,implementation_mode,status,hls_design_lines,spmw_design_lines,ratio_design,hls_config_lines,spmw_config_lines,hls_test_lines,spmw_test_lines,report_paths,failure_reason
fft_folded@fft_folded,E7,HLS vs SPMW,"Folded radix-2 FFT (HP-FFT n256/UF1, one sample per cycle, vs the SPMW single-path delay-feedback pipeline)",design,True,source_count,pass,299,106,2.82,26,5,57,41,fft_folded/counts.md,
systolic_gemm@loc_recount_2026-09-06,E7,HLS vs SPMW,"Systolic GEMM (output-stationary, int8 into int32)",design,True,source_count,pass,94,24,3.92,5,4,0,53,loc_recount_2026-09-06/counts.md,
multicache_gemm@loc_recount_2026-09-06,E7,HLS vs SPMW,"Multi-cache GEMM (daisy-chained column drain, int16)",design,True,source_count,pass,113,40,2.83,4,4,0,34,loc_recount_2026-09-06/counts.md,
tiled_gemm@loc_recount_2026-09-06,E7,HLS vs SPMW,Tiled GEMM (two-level: tile engines of PE meshes),design,True,source_count,pass,153,32,4.78,7,5,0,47,loc_recount_2026-09-06/counts.md,
fft@loc_recount_2026-09-06,E7,HLS vs SPMW,FFT butterfly network (spatial one-shot + streaming batch),design,True,source_count,unsupported,,103,,,7,,150,loc_recount_2026-09-06/counts.md,no matched counterpart on the HLS side
tpu_matrix_unit@loc_recount_2026-09-06,E7,HLS vs SPMW,Mini-TPU matrix unit (weight-stationary MXU + activation row),design,True,source_count,pass,113,40,2.83,7,4,0,92,loc_recount_2026-09-06/counts.md,
tpu_full@loc_recount_2026-09-06,E7,HLS vs SPMW,"Mini-TPU, complete stage engine (instruction-driven MXU cells with weight files, fold units, vector lanes)",design,True,source_count,unsupported,,267,,,61,,265,loc_recount_2026-09-06/counts.md,no matched counterpart on the HLS side
feather@loc_recount_2026-09-06,E7,HLS vs SPMW,FEATHER (NEST weight-file mesh + BIRRD butterfly reduction/reorder),design,True,source_count,unsupported,,97,,,4,,403,loc_recount_2026-09-06/counts.md,no matched counterpart on the HLS side
attention_pv@loc_recount_2026-09-06,E7,HLS vs SPMW,"Grouped attention-PV (the matrix unit adapted: column slabs, serpentine psum chain)",design,True,source_count,pass,112,53,2.11,10,5,0,50,loc_recount_2026-09-06/counts.md,
tpu_matrix_unit_staged@loc_recount_2026-09-06,E7,HLS vs SPMW,"Variant: matrix unit with a staged, double-buffered weight tile (tpu_staged)",variant,True,source_count,pass,113,54,2.09,7,4,0,78,loc_recount_2026-09-06/counts.md,
fft_stream_of@loc_recount_2026-09-06,E7,HLS vs SPMW,Variant: FFT streaming network at any power-of-two size (fft_stream_of),variant,True,source_count,unsupported,,67,,,7,,186,loc_recount_2026-09-06/counts.md,no matched counterpart on the HLS side
feather_stream@loc_recount_2026-09-06,E7,HLS vs SPMW,Variant: FEATHER with operands streamed per tile (feather_stream),variant,True,source_count,unsupported,,104,,,4,,396,loc_recount_2026-09-06/counts.md,no matched counterpart on the HLS side
feather_stream_x@loc_recount_2026-09-06,E7,HLS vs SPMW,"Variant: FEATHER with resident weights, activations streamed (feather_stream_x)",variant,True,source_count,unsupported,,100,,,4,,400,loc_recount_2026-09-06/counts.md,no matched counterpart on the HLS side
tpu_isa_engine@loc_recount_2026-09-06,E7,HLS vs SPMW,Variant: the earlier instruction-driven engine (test_spmw_tpu_isa.py _engine: MXU with NW-deep weight file + VPU lanes),variant,True,source_count,unsupported,,161,,,26,,106,loc_recount_2026-09-06/counts.md,no matched counterpart on the HLS side
gpt_stage_v1@loc_recount_2026-09-06,E7,HLS vs SPMW,"Variant: the stage engine as measured on the U280 (gpt_stage_v1.py, design of record)",variant,True,source_count,unsupported,,163,,,51,,123,loc_recount_2026-09-06/counts.md,no matched counterpart on the HLS side
fragment_systolic@loc_recount_2026-09-06,E7,HLS vs SPMW,"Paper listing, Fig. comparison (code/hls-spmw-comparison.tex): systolic GEMM fragments",fragment,True,source_count,pass,30,26,1.15,0,0,0,0,loc_recount_2026-09-06/counts.md,
fragment_tpu@loc_recount_2026-09-06,E7,HLS vs SPMW,"Paper listing, Fig. tpu (code/tpu.tex): weight-stationary matrix unit with activation row",fragment,True,source_count,unsupported,,26,,,0,,0,loc_recount_2026-09-06/counts.md,no matched counterpart on the HLS side
fragment_attn@loc_recount_2026-09-06,E7,HLS vs SPMW,"Paper listing, Fig. attn (code/attn.tex): grouped attention topology and fabric",fragment,True,source_count,unsupported,,28,,,0,,0,loc_recount_2026-09-06/counts.md,no matched counterpart on the HLS side
fragment_fft@loc_recount_2026-09-06,E7,HLS vs SPMW,"Paper listing, Fig. fft (code/fft.tex): FFT topology fragment",fragment,True,source_count,unsupported,,19,,,0,,0,loc_recount_2026-09-06/counts.md,no matched counterpart on the HLS side
autosa_gemm_int8@loc_recount_2026-09-06,E7,HLS vs SPMW,AutoSA int8 output-stationary GEMM (generated HLS C++; the systolic row's generated counterpart),generated,True,source_count,environment_blocked,0,,,0,,79,,loc_recount_2026-09-06/counts.md,no matched counterpart on the HLS side
