achieved_mhz,achieved_ns,activation,beats,bind_mul,bram,bram_avail,bram_pct,carry8,carry8_avail,carry8_pct,cycles,depth,design,dim,dsp,dsp_avail,dsp_pct,engine,errors,expected,ff,ff_avail,ff_pct,first_out,fixed,hi_cycles,hi_nrow,iob,iob_avail,iob_pct,kind,len,lo_cycles,lo_nrow,log,lut,lut_avail,lut_logic,lut_logic_avail,lut_logic_pct,lut_pct,lutmem,lutmem_avail,lutmem_pct,nacc,nbeat,nrow,outputs,passed,per_beat,per_row,period_ns,scale_latency,tiles,uram,uram_avail,uram_pct,util_from,wns_ns
34.8,28.708,,,,0,2016,0.00,5116,162960,3.14,,,MxuVpuNorm,16,500,9024,5.54,gemmini,,,21474,2607360,0.82,,,,,0,624,0.00,pnr,,,,,71389,1303680,70744,1303680,5.43,5.48,645,600960,0.11,,,,,,,,3.333,4,,0,960,0.00,,-25.375
34.3,29.147,,,,0,2016,0.00,5116,162960,3.14,,,MxuVpuNorm,16,500,9024,5.54,gemmini,,,21991,2607360,0.84,,,,,0,624,0.00,pnr,,,,,71599,1303680,70954,1303680,5.44,5.49,645,600960,0.11,,,,,,,,3.333,8,,0,960,0.00,,-25.814
33.5,29.832,,,,0,2016,0.00,5114,162960,3.14,,,MxuVpuNorm,16,500,9024,5.54,gemmini,,,20132,2607360,0.77,,,,,0,624,0.00,pnr,,,,,69280,1303680,68599,1303680,5.26,5.31,681,600960,0.11,,,,,,,,4.0,4,,0,960,0.00,,-25.832
33.0,30.29,,,,0,2016,0.00,5114,162960,3.14,,,MxuVpuNorm,16,500,9024,5.54,gemmini,,,20145,2607360,0.77,,,,,0,624,0.00,pnr,,,,,69233,1303680,68552,1303680,5.26,5.31,681,600960,0.11,,,,,,,,5.0,4,,0,960,0.00,,-25.29
,,igelu,,,,,,,,,262,,,,,,,gemmini,0,256,,,,,,,,,,,cycles,1024,,,,,,,,,,,,,,,4,256,True,,,,,,,,,,
,,igelu,,,,,,,,,70,,,,,,,gemmini,0,64,,,,,,,,,,,cycles,256,,,,,,,,,,,,,,,4,64,True,,,,,,,,,,
,,igelu,,,,,,,,,518,,,,,,,gemmini,0,512,,,,,,,,,,,cycles,1024,,,,,,,,,,,,,,,8,512,True,,,,,,,,,,
,,igelu,,,,,,,,,134,,,,,,,gemmini,0,128,,,,,,,,,,,cycles,256,,,,,,,,,,,,,,,8,128,True,,,,,,,,,,
,,layernorm,,,,,,,,,526,,,,,,,gemmini,0,64,,,,,,,,,,,cycles,256,,,,,,,,,,,,,,,4,64,True,,,,,,,,,,
,,layernorm,,,,,,,,,1046,,,,,,,gemmini,0,128,,,,,,,,,,,cycles,256,,,,,,,,,,,,,,,8,128,True,,,,,,,,,,
,,none,,,,,,,,,198,,,,,,,gemmini,0,192,,,,,,,,,,,cycles,768,,,,,,,,,,,,,,,4,192,True,,,,,,,,,,
,,none,,,,,,,,,134,,,,,,,gemmini,0,128,,,,,,,,,,,cycles,256,,,,,,,,,,,,,,,8,128,True,,,,,,,,,,
,,none,,,,,,,,,390,,,,,,,gemmini,0,384,,,,,,,,,,,cycles,768,,,,,,,,,,,,,,,8,384,True,,,,,,,,,,
,,softmax,,,,,,,,,170,,,,,,,gemmini,0,16,,,,,,,,,,,cycles,64,,,,,,,,,,,,,,,4,16,True,,,,,,,,,,
,,softmax,,,,,,,,,334,,,,,,,gemmini,0,32,,,,,,,,,,,cycles,64,,,,,,,,,,,,,,,8,32,True,,,,,,,,,,
,,igelu,,,,,,,,,22,,,,,,,gemmini,0,16,,,,,,,,,,,cycles,,,,,,,,,,,,,,,,,16,True,,,,,,,,,,
,,layernorm,,,,,,,,,382,,,,,,,gemmini,0,16,,,,,,,,,,,cycles,,,,,,,,,,,,,,,,,16,True,,,,,,,,,,
,,none,,,,,,,,,22,,,,,,,gemmini,0,16,,,,,,,,,,,cycles,,,,,,,,,,,,,,,,,16,True,,,,,,,,,,
,,relu,,,,,,,,,22,,,,,,,gemmini,0,16,,,,,,,,,,,cycles,,,,,,,,,,,,,,,,,16,True,,,,,,,,,,
,,softmax,,,,,,,,,170,,,,,,,gemmini,0,16,,,,,,,,,,,cycles,,,,,,,,,,,,,,,,,16,True,,,,,,,,,,
,,igelu,,1,,,,,,,703,16,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,1024,,,sw_block-gelu_16_r4_l1024_d16.log,,,,,,,,,,256,64,4,,True,,,,,4,,,,,
,,igelu,,1,,,,,,,415,16,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,256,,,sw_block-gelu_16_r4_l256_d16.log,,,,,,,,,,64,16,4,,True,,,,,4,,,,,
,,igelu,,1,,,,,,,959,16,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,1024,,,sw_block-gelu_16_r8_l1024_d16.log,,,,,,,,,,512,64,8,,True,,,,,4,,,,,
,,igelu,,1,,,,,,,479,16,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,256,,,sw_block-gelu_16_r8_l256_d16.log,,,,,,,,,,128,16,8,,True,,,,,4,,,,,
,,none,,0,,,,,,,484,16,block,16,,,,spmw,0,,,,,169,,,,,,,cycles,16,,,sw_block-none_16_r1_l16_d16_m0_t16.log,,,,,,,,,,1,1,1,,True,,,,,16,,,,,
,,none,,0,,,,,,,653,16,block,16,,,,spmw,0,,,,,210,,,,,,,cycles,16,,,sw_block-none_16_r1_l16_d16_m0_t24.log,,,,,,,,,,1,1,1,,True,,,,,24,,,,,
