run_id,experiment_id,system,workload,numeric_semantics,array_shape,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,steady_interval_cycles,lut,ff,dsp,bram_18k_equiv,bram_36k,bram_18k,uram,wns_ns,tns_ns,unrouted,hls_wall_s,vivado_synth_s,place_s,route_s,total_wall_s,axi_masters,report_paths,failure_reason,source_agent,build_dir,build_state,collected_at,run_total_wall_s,gen_s,csim_s,cosim_s,export_s,wrapper_synth_s,opt_s,phys_opt_s,cosim_latency_min,cosim_latency_avg,cosim_latency_max,cosim_interval_min,cosim_interval_avg,cosim_interval_max,cosim_total_cycles,cosim_latency_cold_launch0,cosim_interval_cold_launch0,vcd_latency_warm,vcd_first_output_cold_launch0,vcd_latency_cold_launch0,vcd_last_output_warm,output_beats_per_launch,first_output_method,hls_est_period_ns,hls_est_latency_cycles,hls_est_lut,hls_est_ff,hls_est_dsp,hls_est_bram18k,hls_est_uram,cp_post_synth_ns,cp_post_impl_ns,timing_met,nets_with_routing_errors,srl,clb,pe_count,tiles_folded,output_stationary,tb_seed_results,axi_data_widths
allo_S4_tile_cosim,E1,Allo,MNK=4 (one 4x4 tile),int8xint8->int32,4x4,cosim,300,pass,True,112,136,137,,,,,,,,,,,59.635,,,,122.461,"3 AXI4 masters + 1 s_axi_control: m_axi_gmem0=A data 8b (bus 32b), addr 64b; m_axi_gmem1=B data 8b (bus 32b), addr 64b; m_axi_gmem2=C data 32b (bus 32b), addr 64b (burst 16, 16 outstanding, max widen 0: one element per beat)",reports/allo_S4_tile_cosim/ (18 files),,w1,/scratch/hc676/e1_allo_w1/S4_tile,complete,2026-09-07 13:34:40,1253,4,7.929,50.897,1123.842,,,,136,146,167,137,152,168,441,167,168,133,112,133,127,"[16, 16, 16]","xsim re-run of the Vitis cosim snapshot (apatb_gemm_top) with a VCD of ap_clk/ap_start/ap_done and the gmem2 write and gmem0 read handshakes; cycles counted on ap_clk from the launch's first ap_start cycle, sampled on the falling edge",2.433,108,8773,5250,16,6,0,,,,,,,16,1,True,s0:PASS:err0;s1:PASS:err0;s2:PASS:err0,"gmem0:R32/W32/A64,gmem1:R32/W32/A64,gmem2:R32/W32/A64"
allo_S4_tile_impl,E1,Allo,MNK=4 (one 4x4 tile),int8xint8->int32,4x4,impl,300,pass,,,,,3693,4459,16,3,0,3,0,0.625,0.0,0,59.635,146.0,277.0,66.0,1195.406,"3 AXI4 masters + 1 s_axi_control: m_axi_gmem0=A data 8b (bus 32b), addr 64b; m_axi_gmem1=B data 8b (bus 32b), addr 64b; m_axi_gmem2=C data 32b (bus 32b), addr 64b (burst 16, 16 outstanding, max widen 0: one element per beat)",reports/allo_S4_tile_impl/ (40 files),,w1,/scratch/hc676/e1_allo_w1/S4_tile,complete,2026-09-07 13:34:40,1253,4,7.929,50.897,1123.842,107.0,28.0,,,,,,,,,,,,,,,,,2.433,108,8773,5250,16,6,0,2.078,2.708,Timing met,0,474,884,16,1,True,,"gmem0:R32/W32/A64,gmem1:R32/W32/A64,gmem2:R32/W32/A64"
allo_S4_128_cosim,E1,Allo,MNK=128 (1024 4x4 tiles folded temporally),int8xint8->int32,4x4,cosim,300,pass,True,316471,334909,334910,,,,,,,,,,,90.382,,,,555.66,"3 AXI4 masters + 1 s_axi_control: m_axi_gmem0=A data 8b (bus 32b), addr 64b; m_axi_gmem1=B data 8b (bus 32b), addr 64b; m_axi_gmem2=C data 32b (bus 32b), addr 64b (burst 16, 16 outstanding, max widen 0: one element per beat)",reports/allo_S4_128_cosim/ (18 files),,w1,/scratch/hc676/e1_allo_w1/S4_128,complete,2026-09-07 13:34:40,1682,7,33.196,425.082,1120.174,,,,334909,334919,334940,334910,334925,334941,1004760,334940,334941,334906,316471,334906,334900,"[16384, 16384]","xsim re-run of the Vitis cosim snapshot (apatb_gemm_top) with a VCD of ap_clk/ap_start/ap_done and the gmem2 write and gmem0 read handshakes; cycles counted on ap_clk from the launch's first ap_start cycle, sampled on the falling edge",2.433,338973,8950,5640,16,54,0,,,,,,,16,1024,True,s0:PASS:err0;s1:PASS:err0;s2:PASS:err0,"gmem0:R32/W32/A64,gmem1:R32/W32/A64,gmem2:R32/W32/A64"
allo_S4_128_impl,E1,Allo,MNK=128 (1024 4x4 tiles folded temporally),int8xint8->int32,4x4,impl,300,pass,,,,,4193,4808,16,41,18,5,0,0.792,0.0,0,90.382,185.0,241.0,52.0,1250.752,"3 AXI4 masters + 1 s_axi_control: m_axi_gmem0=A data 8b (bus 32b), addr 64b; m_axi_gmem1=B data 8b (bus 32b), addr 64b; m_axi_gmem2=C data 32b (bus 32b), addr 64b (burst 16, 16 outstanding, max widen 0: one element per beat)",reports/allo_S4_128_impl/ (41 files),,w1,/scratch/hc676/e1_allo_w1/S4_128,complete,2026-09-07 13:34:40,1682,7,33.196,425.082,1120.174,85.0,25.0,,,,,,,,,,,,,,,,,2.433,338973,8950,5640,16,54,0,2.191,2.541,Timing met,0,474,978,16,1024,True,,"gmem0:R32/W32/A64,gmem1:R32/W32/A64,gmem2:R32/W32/A64"
allo_S8_tile_cosim,E1,Allo,MNK=8 (one 8x8 tile),int8xint8->int32,8x8,cosim,300,pass,True,228,306,307,,,,,,,,,,,79.582,,,,322.245,"3 AXI4 masters + 1 s_axi_control: m_axi_gmem0=A data 8b (bus 32b), addr 64b; m_axi_gmem1=B data 8b (bus 32b), addr 64b; m_axi_gmem2=C data 32b (bus 32b), addr 64b (burst 16, 16 outstanding, max widen 0: one element per beat)",reports/allo_S8_tile_cosim/ (18 files),,w1,/scratch/hc676/e1_allo_w1/S8_tile,complete,2026-09-07 13:34:40,1606,4,6.967,231.696,1279.565,,,,306,316,337,307,322,338,951,337,338,303,228,303,297,"[64, 64, 64]","xsim re-run of the Vitis cosim snapshot (apatb_gemm_top) with a VCD of ap_clk/ap_start/ap_done and the gmem2 write and gmem0 read handshakes; cycles counted on ap_clk from the launch's first ap_start cycle, sampled on the falling edge",2.433,272,21886,13040,64,6,0,,,,,,,64,1,True,s0:PASS:err0;s1:PASS:err0;s2:PASS:err0,"gmem0:R32/W32/A64,gmem1:R32/W32/A64,gmem2:R32/W32/A64"
allo_S8_tile_impl,E1,Allo,MNK=8 (one 8x8 tile),int8xint8->int32,8x8,impl,300,pass,,,,,8419,8220,64,3,0,3,0,0.598,0.0,0,79.582,180.0,215.0,58.0,1370.114,"3 AXI4 masters + 1 s_axi_control: m_axi_gmem0=A data 8b (bus 32b), addr 64b; m_axi_gmem1=B data 8b (bus 32b), addr 64b; m_axi_gmem2=C data 32b (bus 32b), addr 64b (burst 16, 16 outstanding, max widen 0: one element per beat)",reports/allo_S8_tile_impl/ (40 files),,w1,/scratch/hc676/e1_allo_w1/S8_tile,complete,2026-09-07 13:34:40,1606,4,6.967,231.696,1279.565,67.0,18.0,,,,,,,,,,,,,,,,,2.433,272,21886,13040,64,6,0,2.078,2.735,Timing met,0,1386,1864,64,1,True,,"gmem0:R32/W32/A64,gmem1:R32/W32/A64,gmem2:R32/W32/A64"
allo_S8_128_cosim,E1,Allo,MNK=128 (256 8x8 tiles folded temporally),int8xint8->int32,8x8,cosim,300,pass,True,106807,125245,125246,,,,,,,,,,,80.113,,,,647.242,"3 AXI4 masters + 1 s_axi_control: m_axi_gmem0=A data 8b (bus 32b), addr 64b; m_axi_gmem1=B data 8b (bus 32b), addr 64b; m_axi_gmem2=C data 32b (bus 32b), addr 64b (burst 16, 16 outstanding, max widen 0: one element per beat)",reports/allo_S8_128_cosim/ (18 files),,w1,/scratch/hc676/e1_allo_w1/S8_128,complete,2026-09-07 13:34:40,1968,4,15.508,547.621,1316.195,,,,125245,125255,125276,125246,125261,125277,375768,125276,125277,125242,106807,125242,125236,"[16384, 16384]","xsim re-run of the Vitis cosim snapshot (apatb_gemm_top) with a VCD of ap_clk/ap_start/ap_done and the gmem2 write and gmem0 read handshakes; cycles counted on ap_clk from the launch's first ap_start cycle, sampled on the falling edge",2.740,124701,22046,13942,64,22,4,,,,,,,64,256,True,s0:PASS:err0;s1:PASS:err0;s2:PASS:err0,"gmem0:R32/W32/A64,gmem1:R32/W32/A64,gmem2:R32/W32/A64"
allo_S8_128_impl,E1,Allo,MNK=128 (256 8x8 tiles folded temporally),int8xint8->int32,8x8,impl,300,pass,,,,,10177,9301,64,43,20,3,0,0.428,0.0,0,80.113,183.0,225.0,64.0,1415.816,"3 AXI4 masters + 1 s_axi_control: m_axi_gmem0=A data 8b (bus 32b), addr 64b; m_axi_gmem1=B data 8b (bus 32b), addr 64b; m_axi_gmem2=C data 32b (bus 32b), addr 64b (burst 16, 16 outstanding, max widen 0: one element per beat)",reports/allo_S8_128_impl/ (40 files),,w1,/scratch/hc676/e1_allo_w1/S8_128,complete,2026-09-07 13:34:40,1968,4,15.508,547.621,1316.195,67.0,25.0,,,,,,,,,,,,,,,,,2.740,124701,22046,13942,64,22,4,2.078,2.905,Timing met,0,1386,2184,64,256,True,,"gmem0:R32/W32/A64,gmem1:R32/W32/A64,gmem2:R32/W32/A64"
allo_S16_tile_cosim,E1,Allo,MNK=16 (one 16x16 tile),int8xint8->int32,16x16,cosim,300,timeout_cosim,,,,,,,,,,,,,,,423.269,,,,443.363,"3 AXI4 masters + 1 s_axi_control: m_axi_gmem0=A data 8b (bus 32b), addr 64b; m_axi_gmem1=B data 8b (bus 32b), addr 64b; m_axi_gmem2=C data 32b (bus 32b), addr 64b (burst 16, 16 outstanding, max widen 0: one element per beat)",reports/allo_S16_tile_cosim/ (12 files),cosim did not finish: started but never returned; last Vitis message: none; first_output_cycles: null (no waveform-derived measurement for this build),w1,/scratch/hc676/e1_allo_w1/S16_tile,complete_with_failures,2026-09-07 13:34:40,2597,13,7.094,,,,,,,,,,,,,,,,,,,,,2.433,888,72278,44627,256,6,0,,,,,,,256,1,True,,"gmem0:R32/W32/A64,gmem1:R32/W32/A64,gmem2:R32/W32/A64"
allo_S16_tile_impl,E1,Allo,MNK=16 (one 16x16 tile),int8xint8->int32,16x16,impl,300,not_run_impl,,,,,,,,,,,,,,,423.269,,,,443.363,"3 AXI4 masters + 1 s_axi_control: m_axi_gmem0=A data 8b (bus 32b), addr 64b; m_axi_gmem1=B data 8b (bus 32b), addr 64b; m_axi_gmem2=C data 32b (bus 32b), addr 64b (burst 16, 16 outstanding, max widen 0: one element per beat)",reports/allo_S16_tile_impl/ (2 files),implementation was never started (the build stopped in an earlier stage),w1,/scratch/hc676/e1_allo_w1/S16_tile,complete_with_failures,2026-09-07 13:34:40,2597,13,7.094,,,,,,,,,,,,,,,,,,,,,2.433,888,72278,44627,256,6,0,,,,,,,256,1,True,,"gmem0:R32/W32/A64,gmem1:R32/W32/A64,gmem2:R32/W32/A64"
