run_id,experiment_id,system,workload,numeric_semantics,array_shape,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,steady_interval_cycles,lut,ff,dsp,bram_18k_equiv,bram_36k,bram_18k,uram,wns_ns,tns_ns,unrouted,hls_wall_s,synth_s,place_s,route_s,total_wall_s,axi_masters,axi_width_bits,autosa_command,report_paths,failure_reason,variant,tiles_per_launch,tile_interval_cycles,launch_interval_cycles,last_output_cycles,first_output_cold_cycles,completion_cold_cycles,cosim_latency_min,cosim_latency_avg,cosim_latency_max,cosim_interval_min,cosim_interval_avg,cosim_interval_max,cosim_wall_s,vcd_wall_s,top_port_bits,numeric_validation,provenance,notes
autosa_mm4i8z_cosim,E1,AutoSA,16x16x16,int8xint8->int32,4x4,cosim,300,pass,true,63,788,47,,,,,,,,,,,85.53,,,,185.159475171,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8z/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8z/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[4,4,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8z/simd_info.json --hls",reports/autosa_mm4i8z_cosim/,,cinit,16,47,815,782,63,788,813,825,850,813,831,850,67.400529433,32.228945738,1351,"numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","AutoSA generation + csynth: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57); numpy 3-seed cosim + VCD: this agent (np/ lanes, 2026-09-06 22:55 onwards)","steady_interval_cycles = median spacing of the 16 tiles' gmem_C drain bursts within a launch (VCD; min/max 42/47); cycle columns from the VCD (kernel ap_start rise .. ap_done, steady launch 2); cosim report latency min/avg/max 813/825/850 includes the testbench's control transactions; AutoSA's own testbench (rand()%8 operands, one launch) gave latency 850 in the previous agent's cosim"
autosa_mm4i8z_pnr_ooc,E1,AutoSA,16x16x16,int8xint8->int32,4x4,pnr_ooc,300,pass,true,63,788,47,8129,17481,16,9,4,1,0,0.536,0.0,0,85.53,352.626,339.267,91.939,864.699521351,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8z/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8z/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[4,4,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8z/simd_info.json --hls",reports/autosa_mm4i8z_pnr_ooc/,,cinit,16,47,815,782,63,788,813,825,850,813,831,850,,,1351,"same RTL as the cosim row: numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","RTL (csynth) and P&R: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57)","stage times: synth 352.626, opt 21.004, place 339.267, physopt 5.417, route 91.939"
autosa_mm8i8z_cosim,E1,AutoSA,16x16x16,int8xint8->int32,8x8,cosim,300,pass,true,69,795,183,,,,,,,,,,,389.89,,,,610.976057636,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8z/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8z/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[8,8,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8z/simd_info.json --hls",reports/autosa_mm8i8z_cosim/,,cinit,4,183,815,789,69,795,813,825,850,813,831,850,151.33040238,69.755655256,1351,"numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","AutoSA generation + csynth: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57); numpy 3-seed cosim + VCD: this agent (np/ lanes, 2026-09-06 22:55 onwards)","steady_interval_cycles = median spacing of the 4 tiles' gmem_C drain bursts within a launch (VCD; min/max 178/183); cycle columns from the VCD (kernel ap_start rise .. ap_done, steady launch 2); cosim report latency min/avg/max 813/825/850 includes the testbench's control transactions; AutoSA's own testbench (rand()%8 operands, one launch) gave latency 850 in the previous agent's cosim"
autosa_mm8i8z_pnr_ooc,E1,AutoSA,16x16x16,int8xint8->int32,8x8,pnr_ooc,300,pass,true,69,795,183,19755,38762,64,9,4,1,0,0.331,0.0,0,389.89,508.325,429.54,117.616,1146.718623294,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8z/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8z/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[8,8,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8z/simd_info.json --hls",reports/autosa_mm8i8z_pnr_ooc/,,cinit,4,183,815,789,69,795,813,825,850,813,831,850,,,1351,"same RTL as the cosim row: numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","RTL (csynth) and P&R: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57)","stage times: synth 508.325, opt 31.777, place 429.54, physopt 8.965, route 117.616"
autosa_mm16i8z_cosim,E1,AutoSA,16x16x16,int8xint8->int32,16x16,cosim,300,pass,true,71,797,824,,,,,,,,,,,2169.64,,,,3607.869083666,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm16i8z/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm16i8z/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[16,16,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm16i8z/simd_info.json --hls",reports/autosa_mm16i8z_cosim/,,cinit,1,,824,791,71,797,822,834,859,822,840,859,1193.139056067,245.090027599,1351,"numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","AutoSA generation + csynth: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57); its P&R (lane B) finished 22:57 during this agent's session; numpy 3-seed cosim + VCD: this agent (np/ lanes, 2026-09-06 22:55 onwards)","one tile per launch: steady_interval_cycles = launch-to-launch interval of the kernel's ap_start (VCD, includes the testbench's AXI-lite re-arm); cycle columns from the VCD (kernel ap_start rise .. ap_done, steady launch 2); cosim report latency min/avg/max 822/834/859 includes the testbench's control transactions; AutoSA's own testbench (rand()%8 operands, one launch) gave latency 859 in the previous agent's cosim"
autosa_mm16i8z_pnr_ooc,E1,AutoSA,16x16x16,int8xint8->int32,16x16,pnr_ooc,300,pass,true,71,797,824,47434,81265,256,9,4,1,0,0.455,0.0,0,2169.64,666.971,490.951,298.192,1606.334213838,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm16i8z/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm16i8z/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[16,16,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm16i8z/simd_info.json --hls",reports/autosa_mm16i8z_pnr_ooc/,,cinit,1,,824,791,71,797,822,834,859,822,840,859,,,1351,"same RTL as the cosim row: numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","RTL (csynth) and P&R: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57); its P&R (lane B) finished 22:57 during this agent's session","stage times: synth 666.971, opt 68.155, place 490.951, physopt 15.593, route 298.192"
autosa_mm32i8z32_cosim,E1,AutoSA,32x32x16,int8xint8->int32,32x32,cosim,300,pass,true,87,2989,3011,,,,,,,,,,,36088.4,,,,51124.722251594,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm32i8z32/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm32i8z32/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[32,32,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm32i8z32/simd_info.json --hls",reports/autosa_mm32i8z32_cosim/,,cinit,1,,3011,2983,87,2989,3009,3021,3046,3009,3027,3046,13704.282666895,1332.039584699,1351,"numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","AutoSA generation + csynth: this agent (np/ lanes, 2026-09-06 22:55 onwards); numpy 3-seed cosim + VCD: this agent (np/ lanes, 2026-09-06 22:55 onwards)","one tile per launch: steady_interval_cycles = launch-to-launch interval of the kernel's ap_start (VCD, includes the testbench's AXI-lite re-arm); cycle columns from the VCD (kernel ap_start rise .. ap_done, steady launch 2); cosim report latency min/avg/max 3009/3021/3046 includes the testbench's control transactions"
autosa_mm32i8z32_pnr_ooc,E1,AutoSA,32x32x16,int8xint8->int32,32x32,pnr_ooc,300,pass,true,87,2989,3011,169841,262017,1024,11,5,1,0,0.048,0.0,0,36088.4,3080.811,1399.596,824.69,5744.384146598,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm32i8z32/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm32i8z32/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[32,32,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm32i8z32/simd_info.json --hls",reports/autosa_mm32i8z32_pnr_ooc/,,cinit,1,,3011,2983,87,2989,3009,3021,3046,3009,3027,3046,,,1351,"same RTL as the cosim row: numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","RTL (csynth) and P&R: this agent (np/ lanes, 2026-09-06 22:55 onwards)","stage times: synth 3080.811, opt 241.039, place 1399.596, physopt 53.432, route 824.69"
autosa_mm4i8_cosim,E1,AutoSA,16x16x16,int8xint8->int32,4x4,cosim,300,functional_fail,false,,850,,,,,,,,,,,,46.39,,,,93.13,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[4,4,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8/simd_info.json --hls",reports/autosa_mm4i8_cosim/,"testbench post-check on the RTL outputs printed 'Failed with 240 errors!' (Vitis' PASS only reflects the testbench's return 0); C-model run printed 'Failed with 256 errors!'; cause: no C[i][j]=0 in the scop, the PE accumulator is never reset and every tile after the first starts from the previous tile's sum (240 = 256 - 16 wrong outputs)",asis,16,,,,,,850,850,850,,,,46.74,,1351,"AutoSA's generated testbench only (rand()%8 non-negative operands, one launch, C reference in the testbench); not re-run with numpy because the kernel form is functionally wrong","AutoSA generation + csynth: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57)",completion_cycles = cosim report latency of the single launch (includes the testbench's control transactions; no VCD); first_output/interval not measured for the as-specified form
autosa_mm4i8_pnr_ooc,E1,AutoSA,16x16x16,int8xint8->int32,4x4,pnr_ooc,300,pass,false,,850,,8334,18149,16,9,4,1,0,0.56,0.0,0,46.39,226.429,242.202,63.822,585.580079251,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[4,4,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8/simd_info.json --hls",reports/autosa_mm4i8_pnr_ooc/,,asis,16,,,,,,850,850,850,,,,,,1351,"same RTL as the cosim row: AutoSA's generated testbench only (rand()%8 non-negative operands, one launch, C reference in the testbench); not re-run with numpy because the kernel form is functionally wrong","RTL (csynth) and P&R: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57)","stage times: synth 226.429, opt 16.145, place 242.202, physopt 3.03, route 63.822"
autosa_mm8i8_cosim,E1,AutoSA,16x16x16,int8xint8->int32,8x8,cosim,300,functional_fail,false,,850,,,,,,,,,,,,175.18,,,,299.98,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[8,8,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8/simd_info.json --hls",reports/autosa_mm8i8_cosim/,"testbench post-check on the RTL outputs printed 'Failed with 192 errors!' (Vitis' PASS only reflects the testbench's return 0); C-model run printed 'Failed with 256 errors!'; cause: no C[i][j]=0 in the scop, the PE accumulator is never reset and every tile after the first starts from the previous tile's sum (192 = 256 - 64 wrong outputs)",asis,4,,,,,,850,850,850,,,,124.8,,1351,"AutoSA's generated testbench only (rand()%8 non-negative operands, one launch, C reference in the testbench); not re-run with numpy because the kernel form is functionally wrong","AutoSA generation + csynth: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57)",completion_cycles = cosim report latency of the single launch (includes the testbench's control transactions; no VCD); first_output/interval not measured for the as-specified form
