run_id,experiment_id,system,workload,numeric_semantics,array_shape,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,steady_interval_cycles,lut,ff,dsp,bram_18k_equiv,uram,wns_ns,tns_ns,hls_wall_s,vivado_synth_s,place_s,route_s,total_wall_s,axi_masters,top_ports,report_paths,failure_reason
autosa_mm4i8_cosim,E1,AutoSA,16x16x16,int8xint8->int32,4x4,cosim,300,functional_fail,false,null,850,null,null,null,null,null,null,null,null,97.016283613,null,null,null,97.016283613,3,1351,reports/autosa_mm4i8_cosim/,"testbench post-check on the RTL outputs printed 'Failed with 240 errors!' (Vitis cosim verdict PASS only reflects the TB's return 0); C-model run printed 'Failed with 256 errors!'; cause: kernel.c has no C[i][j]=0 in the scop, so the PE accumulator is never reset and every tile after the first starts from the previous tile's sum (240 = 256 - 16 wrong outputs); variant=asis: input kernel.c as in mm16i8 (no C[i][j]=0 in the scop); interval not measurable: single transaction in cosim (csynth estimate in summary.json); first_output_cycles not measured: no waveform trace in the cosim recipe"
autosa_mm4i8_pnr_ooc,E1,AutoSA,16x16x16,int8xint8->int32,4x4,pnr_ooc,300,pass,false,null,850,null,8334,18149,16,9,0,0.56,0.0,46.39,226.429,242.202,63.822,585.580079251,3,1351,reports/autosa_mm4i8_pnr_ooc/,variant=asis: input kernel.c as in mm16i8 (no C[i][j]=0 in the scop)
autosa_mm8i8_cosim,E1,AutoSA,16x16x16,int8xint8->int32,8x8,cosim,300,functional_fail,false,null,850,null,null,null,null,null,null,null,null,304.345506048,null,null,null,304.345506048,3,null,reports/autosa_mm8i8_cosim/,"testbench post-check on the RTL outputs printed 'Failed with 192 errors!' (Vitis cosim verdict PASS only reflects the TB's return 0); C-model run printed 'Failed with 256 errors!'; cause: kernel.c has no C[i][j]=0 in the scop, so the PE accumulator is never reset and every tile after the first starts from the previous tile's sum (192 = 256 - 64 wrong outputs); variant=asis: input kernel.c as in mm16i8 (no C[i][j]=0 in the scop); interval not measurable: single transaction in cosim (csynth estimate in summary.json); first_output_cycles not measured: no waveform trace in the cosim recipe"
autosa_mm8i8_pnr_ooc,E1,AutoSA,16x16x16,int8xint8->int32,8x8,pnr_ooc,300,timeout,false,null,850,null,null,null,null,null,null,null,null,175.18,null,null,null,null,3,null,reports/autosa_mm8i8_pnr_ooc/,vivado run not finished; variant=asis: input kernel.c as in mm16i8 (no C[i][j]=0 in the scop)
autosa_mm16i8_cosim,E1,AutoSA,16x16x16,int8xint8->int32,16x16,cosim,300,timeout,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,reports/autosa_mm16i8_cosim/,vitis_hls run not finished
autosa_mm16i8_pnr_ooc,E1,AutoSA,16x16x16,int8xint8->int32,16x16,pnr_ooc,300,timeout,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,reports/autosa_mm16i8_pnr_ooc/,vivado run not finished; variant=asis: input kernel.c as in mm16i8 (no C[i][j]=0 in the scop)
autosa_mm32i8_cosim,E1,AutoSA,16x16x16,int8xint8->int32,32x32,cosim,300,unsupported,false,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,reports/autosa_mm32i8_unsupported/,"AutoSA cannot size a 32x32 output-stationary array on the identical 16x16x16 problem: array_part[32,32,16] is clamped to the loop bounds without a warning and the generated kernel_kernel.cpp is byte-identical to the 16x16 design (256 PE_wrapper instances); a 32x32 array needs at least 32x32 outputs (a larger problem), which this package keeps fixed; HLS and P&R were therefore not run; variant=asis: input kernel.c as in mm16i8 (no C[i][j]=0 in the scop)"
autosa_mm32i8_pnr_ooc,E1,AutoSA,16x16x16,int8xint8->int32,32x32,pnr_ooc,300,unsupported,false,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,reports/autosa_mm32i8_unsupported/,"AutoSA cannot size a 32x32 output-stationary array on the identical 16x16x16 problem: array_part[32,32,16] is clamped to the loop bounds without a warning and the generated kernel_kernel.cpp is byte-identical to the 16x16 design (256 PE_wrapper instances); a 32x32 array needs at least 32x32 outputs (a larger problem), which this package keeps fixed; HLS and P&R were therefore not run; variant=asis: input kernel.c as in mm16i8 (no C[i][j]=0 in the scop)"
autosa_mm4i8z_cosim,E1,AutoSA,16x16x16,int8xint8->int32,4x4,cosim,300,timeout,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,reports/autosa_mm4i8z_cosim/,vitis_hls run not finished
autosa_mm4i8z_pnr_ooc,E1,AutoSA,16x16x16,int8xint8->int32,4x4,pnr_ooc,300,timeout,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,reports/autosa_mm4i8z_pnr_ooc/,"vivado run not finished; variant=cinit: input kernel.c with C[i][j]=0 inside the scop (AutoSA mm test form); problem size, types, --sa-sizes identical"
autosa_mm8i8z_cosim,E1,AutoSA,16x16x16,int8xint8->int32,8x8,cosim,300,timeout,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,reports/autosa_mm8i8z_cosim/,vitis_hls run not finished
autosa_mm8i8z_pnr_ooc,E1,AutoSA,16x16x16,int8xint8->int32,8x8,pnr_ooc,300,timeout,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,reports/autosa_mm8i8z_pnr_ooc/,"vivado run not finished; variant=cinit: input kernel.c with C[i][j]=0 inside the scop (AutoSA mm test form); problem size, types, --sa-sizes identical"
autosa_mm16i8z_cosim,E1,AutoSA,16x16x16,int8xint8->int32,16x16,cosim,300,timeout,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,reports/autosa_mm16i8z_cosim/,vitis_hls run not finished
autosa_mm16i8z_pnr_ooc,E1,AutoSA,16x16x16,int8xint8->int32,16x16,pnr_ooc,300,timeout,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,reports/autosa_mm16i8z_pnr_ooc/,"vivado run not finished; variant=cinit: input kernel.c with C[i][j]=0 inside the scop (AutoSA mm test form); problem size, types, --sa-sizes identical"
autosa_mm32i8z_cosim,E1,AutoSA,16x16x16,int8xint8->int32,32x32,cosim,300,unsupported,false,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,reports/autosa_mm32i8z_unsupported/,"AutoSA cannot size a 32x32 output-stationary array on the identical 16x16x16 problem: array_part[32,32,16] is clamped to the loop bounds without a warning and the generated kernel_kernel.cpp is byte-identical to the 16x16 design (256 PE_wrapper instances); a 32x32 array needs at least 32x32 outputs (a larger problem), which this package keeps fixed; HLS and P&R were therefore not run; variant=cinit: input kernel.c with C[i][j]=0 inside the scop (AutoSA mm test form); problem size, types, --sa-sizes identical"
autosa_mm32i8z_pnr_ooc,E1,AutoSA,16x16x16,int8xint8->int32,32x32,pnr_ooc,300,unsupported,false,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,reports/autosa_mm32i8z_unsupported/,"AutoSA cannot size a 32x32 output-stationary array on the identical 16x16x16 problem: array_part[32,32,16] is clamped to the loop bounds without a warning and the generated kernel_kernel.cpp is byte-identical to the 16x16 design (256 PE_wrapper instances); a 32x32 array needs at least 32x32 outputs (a larger problem), which this package keeps fixed; HLS and P&R were therefore not run; variant=cinit: input kernel.c with C[i][j]=0 inside the scop (AutoSA mm test form); problem size, types, --sa-sizes identical"
