run_id,experiment_id,system,workload,size,mode,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,tokens_checked,lut,ff,dsp,bram_18k_equiv,bram_36k,bram_18k,uram,wns_ns,tns_ns,achieved_ns,hls_wall_s,hls_sum_job_s,vivado_total_s,synth_s,place_s,route_s,unrouted,roles,instances,report_paths,failure_reason
S16_cosim,E1,SPMW (gemm8),"16x16 int8 OS GEMM, one tile",16,cosim,rtl_cosim,300,pass,True,22,52,256,,,,,,,,,,,91.0,427.0,,,,,,9,256,reports/S16_cosim,
S16_memcosim,E1,SPMW (gemm8),"16x16 int8 OS GEMM, one tile",16,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,92.5,515.0,,,,,,9,256,reports/S16_memcosim,"allo.spmw.errors.SPMWBindingError: a memory-mapped fabric has no mover for ['pe_c_mem'], so those channels would still have to be driven from outside; a `MemOut` gathered per site is not a transfer th"
S16_pnr,E1,SPMW (gemm8),"16x16 int8 OS GEMM, one tile",16,pnr,pnr_ooc,300,pass,,,,,9026,18048,256,0,0,0,0,0.428,0.0,2.905,106.1,507.9,1745.8,574.737,583.403,463.617,0,9,256,reports/S16_pnr,
S32_cosim,E1,SPMW (gemm8),"32x32 int8 OS GEMM, one tile",32,cosim,rtl_cosim,300,pass,True,38,100,1024,,,,,,,,,,,104.5,479.6,,,,,,9,1024,reports/S32_cosim,
S32_memcosim,E1,SPMW (gemm8),"32x32 int8 OS GEMM, one tile",32,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,126.9,680.2,,,,,,9,1024,reports/S32_memcosim,"allo.spmw.errors.SPMWBindingError: a memory-mapped fabric has no mover for ['pe_c_mem'], so those channels would still have to be driven from outside; a `MemOut` gathered per site is not a transfer th"
S32_pnr,E1,SPMW (gemm8),"32x32 int8 OS GEMM, one tile",32,pnr,pnr_ooc,300,pass,,,,,37917,74945,1024,0,0,0,0,0.431,0.0,2.902,109.5,538.1,4187.5,1542.047,962.071,1369.441,0,9,1024,reports/S32_pnr,
S4_cosim,E1,SPMW (gemm8),"4x4 int8 OS GEMM, one tile",4,cosim,rtl_cosim,300,pass,True,10,16,16,,,,,,,,,,,80.0,371.2,,,,,,9,16,reports/S4_cosim,
S4_memcosim,E1,SPMW (gemm8),"4x4 int8 OS GEMM, one tile",4,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,81.1,447.3,,,,,,9,16,reports/S4_memcosim,"allo.spmw.errors.SPMWBindingError: a memory-mapped fabric has no mover for ['pe_c_mem'], so those channels would still have to be driven from outside; a `MemOut` gathered per site is not a transfer th"
S4_pnr,E1,SPMW (gemm8),"4x4 int8 OS GEMM, one tile",4,pnr,pnr_ooc,300,pass,,,,,560,1021,16,0,0,0,0,1.167,0.0,2.166,80.8,375.3,316.1,80.99,170.646,32.252,0,9,16,reports/S4_pnr,
S8_cosim,E1,SPMW (gemm8),"8x8 int8 OS GEMM, one tile",8,cosim,rtl_cosim,300,pass,True,14,28,64,,,,,,,,,,,88.2,404.3,,,,,,9,64,reports/S8_cosim,
S8_memcosim,E1,SPMW (gemm8),"8x8 int8 OS GEMM, one tile",8,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,83.9,463.8,,,,,,9,64,reports/S8_memcosim,"allo.spmw.errors.SPMWBindingError: a memory-mapped fabric has no mover for ['pe_c_mem'], so those channels would still have to be driven from outside; a `MemOut` gathered per site is not a transfer th"
S8_pnr,E1,SPMW (gemm8),"8x8 int8 OS GEMM, one tile",8,pnr,pnr_ooc,300,pass,,,,,2225,4301,64,0,0,0,0,0.996,0.0,2.337,84.5,387.5,461.9,105.572,213.828,96.567,0,9,64,reports/S8_pnr,
