run_id,experiment_id,system,workload,size,mode,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,tokens_checked,lut,ff,dsp,bram_18k_equiv,bram_36k,bram_18k,uram,wns_ns,tns_ns,achieved_ns,hls_wall_s,hls_sum_job_s,vivado_total_s,synth_s,place_s,route_s,unrouted,roles,instances,report_paths,failure_reason
S16_memcosim,E1,"SPMW (autosa-shaped, memory-connected)","16x16 int8 OS GEMM, memory-fed",16,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,144.6,890.7,,,,,,15,288,reports/S16_memcosim,the out-of-context array testbench drives streams and has no AXI memory model; memory-mapped movers are simulated at kernel level (spmw_kernel_sim.py) and validated on the board
S16_memsim,E1,"SPMW (autosa-shaped, memory-connected)","16x16 int8 OS GEMM, memory-fed; kernel with 3 AXI masters",16,memsim,kernel_sim_axi_ram,300,pass,True,,152,1024,,,,,,,,,,,225.8,,,,,,,,,reports/S16_memsim,
S16_pnr,E1,"SPMW (autosa-shaped, memory-connected)","16x16 int8 OS GEMM, memory-fed",16,pnr,pnr_ooc,300,pass,,,,,32756,40732,256,0,0,0,0,0.541,0.0,2.792,105.4,788.6,2055.4,607.052,759.435,534.179,0,15,288,reports/S16_pnr,
S32_memcosim,E1,"SPMW (autosa-shaped, memory-connected)","32x32 int8 OS GEMM, memory-fed",32,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,179.4,1123.5,,,,,,15,1088,reports/S32_memcosim,the out-of-context array testbench drives streams and has no AXI memory model; memory-mapped movers are simulated at kernel level (spmw_kernel_sim.py) and validated on the board
S32_memsim,E1,"SPMW (autosa-shaped, memory-connected)","32x32 int8 OS GEMM, memory-fed; kernel with 3 AXI masters",32,memsim,kernel_sim_axi_ram,300,pass,True,,298,4096,,,,,,,,,,,215.6,,,,,,,,,reports/S32_memsim,
S32_pnr,E1,"SPMW (autosa-shaped, memory-connected)","32x32 int8 OS GEMM, memory-fed",32,pnr,pnr_ooc,300,pass,,,,,137741,163708,1024,0,0,0,0,0.529,0.0,2.804,110.6,820.8,5247.1,2096.311,1093.217,1650.341,0,15,1088,reports/S32_pnr,
S4_memcosim,E1,"SPMW (autosa-shaped, memory-connected)","4x4 int8 OS GEMM, memory-fed",4,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,124.5,765.2,,,,,,15,24,reports/S4_memcosim,the out-of-context array testbench drives streams and has no AXI memory model; memory-mapped movers are simulated at kernel level (spmw_kernel_sim.py) and validated on the board
S4_memsim,E1,"SPMW (autosa-shaped, memory-connected)","4x4 int8 OS GEMM, memory-fed; kernel with 3 AXI masters",4,memsim,kernel_sim_axi_ram,300,pass,True,,66,64,,,,,,,,,,,216.4,,,,,,,,,reports/S4_memsim,
S4_pnr,E1,"SPMW (autosa-shaped, memory-connected)","4x4 int8 OS GEMM, memory-fed",4,pnr,pnr_ooc,300,pass,,,,,1867,2516,16,0,0,0,0,1.301,0.0,2.032,91.8,687.4,335.3,92.413,171.93,35.731,0,15,24,reports/S4_pnr,
S8_memcosim,E1,"SPMW (autosa-shaped, memory-connected)","8x8 int8 OS GEMM, memory-fed",8,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,131.2,807.0,,,,,,15,80,reports/S8_memcosim,the out-of-context array testbench drives streams and has no AXI memory model; memory-mapped movers are simulated at kernel level (spmw_kernel_sim.py) and validated on the board
S8_memsim,E1,"SPMW (autosa-shaped, memory-connected)","8x8 int8 OS GEMM, memory-fed; kernel with 3 AXI masters",8,memsim,kernel_sim_axi_ram,300,pass,True,,100,256,,,,,,,,,,,221.9,,,,,,,,,reports/S8_memsim,
S8_pnr,E1,"SPMW (autosa-shaped, memory-connected)","8x8 int8 OS GEMM, memory-fed",8,pnr,pnr_ooc,300,pass,,,,,8015,10220,64,0,0,0,0,1.232,0.0,2.101,99.0,737.4,531.4,163.424,237.592,75.761,0,15,80,reports/S8_pnr,
