run_id,system,transform_size,config,unroll_factor,latency_cycles,interval_cycles,pipeline_type,lut,ff,dsp,bram_18k,uram,timing_estimate_ns,timing_budget_ns,hls_wall_s,csim_pass,cmodel_validation_pass,cmodel_max_abs_error,ignored_directives,run_by,report_paths,notes
allo-strided_n1024_raw_csynth,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",1024,strided_fft FFT_SIZE=1024 wrap_io=False,,,,no,5899,6271,20,8,0,2.431,2.43,958,True,True,2.187e-05,HLS 200-880 II-violation(memory-dependence) x16; HLS 200-960 cannot-flatten-loop x1; RTGEN 206-101 rtgen-warning x1,previous_agent,allo/reports/allo-strided_n1024_raw_csynth,no latency/interval from csynth: the two while loops have no trip-count bound; inner loop auto-pipelined at II=25 (HLS 200-880 memory dependence on the in-place real[]/img[] arrays)
allo-strided_n1024_wrap_csynth,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",1024,strided_fft FFT_SIZE=1024 wrap_io=True,,,,no,6464,7727,16,14,0,2.515,2.43,723,True,True,2.187e-05,HLS 200-871 estimated-clock-exceeds-target x2; HLS 200-880 II-violation(memory-dependence) x7; HLS 200-960 cannot-flatten-loop x1; RTGEN 206-101 rtgen-warning x1,previous_agent,allo/reports/allo-strided_n1024_wrap_csynth,no latency/interval from csynth: the two while loops have no trip-count bound; inner loop auto-pipelined at II=25 (HLS 200-880 memory dependence on the in-place real[]/img[] arrays)
allo-strided_n1024_wrap_s_csynth,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",1024,"strided_fft FFT_SIZE=1024 wrap_io=True (seeded rerun, this agent)",,,,no,6464,7727,16,14,0,2.515,2.43,544,True,True,1.378e-05,HLS 200-871 estimated-clock-exceeds-target x2; HLS 200-880 II-violation(memory-dependence) x7; HLS 200-960 cannot-flatten-loop x1; RTGEN 206-101 rtgen-warning x1,this_agent,allo/reports/allo-strided_n1024_wrap_s_csynth,no latency/interval from csynth: the two while loops have no trip-count bound; inner loop auto-pipelined at II=25 (HLS 200-880 memory dependence on the in-place real[]/img[] arrays)
allo-strided_n128_raw_csynth,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",128,strided_fft FFT_SIZE=128 wrap_io=False,,,,no,5883,6259,20,8,0,2.431,2.43,307,True,True,4.872e-06,HLS 200-880 II-violation(memory-dependence) x16; HLS 200-960 cannot-flatten-loop x1; RTGEN 206-101 rtgen-warning x1,previous_agent,allo/reports/allo-strided_n128_raw_csynth,no latency/interval from csynth: the two while loops have no trip-count bound; inner loop auto-pipelined at II=25 (HLS 200-880 memory dependence on the in-place real[]/img[] arrays)
allo-strided_n128_wrap_csynth,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",128,strided_fft FFT_SIZE=128 wrap_io=True,,,,no,6608,7802,16,8,0,2.431,2.43,245,True,True,4.872e-06,HLS 200-880 II-violation(memory-dependence) x7; HLS 200-960 cannot-flatten-loop x1; RTGEN 206-101 rtgen-warning x1,previous_agent,allo/reports/allo-strided_n128_wrap_csynth,no latency/interval from csynth: the two while loops have no trip-count bound; inner loop auto-pipelined at II=25 (HLS 200-880 memory dependence on the in-place real[]/img[] arrays)
allo-strided_n128_wrap_s_csynth,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",128,"strided_fft FFT_SIZE=128 wrap_io=True (seeded rerun, this agent)",,,,no,6608,7802,16,8,0,2.431,2.43,158,True,True,2.660e-06,HLS 200-880 II-violation(memory-dependence) x7; HLS 200-960 cannot-flatten-loop x1; RTGEN 206-101 rtgen-warning x1,this_agent,allo/reports/allo-strided_n128_wrap_s_csynth,no latency/interval from csynth: the two while loops have no trip-count bound; inner loop auto-pipelined at II=25 (HLS 200-880 memory dependence on the in-place real[]/img[] arrays)
allo-strided_n256_raw_csynth,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",256,strided_fft FFT_SIZE=256 wrap_io=False,,,,no,5891,6265,20,8,0,2.431,2.43,370,True,True,9.707e-06,HLS 200-880 II-violation(memory-dependence) x16; HLS 200-960 cannot-flatten-loop x1; RTGEN 206-101 rtgen-warning x1,previous_agent,allo/reports/allo-strided_n256_raw_csynth,no latency/interval from csynth: the two while loops have no trip-count bound; inner loop auto-pipelined at II=25 (HLS 200-880 memory dependence on the in-place real[]/img[] arrays)
allo-strided_n256_wrap_csynth,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",256,strided_fft FFT_SIZE=256 wrap_io=True,,,,no,6562,7756,16,10,0,2.431,2.43,291,True,True,9.707e-06,HLS 200-880 II-violation(memory-dependence) x7; HLS 200-960 cannot-flatten-loop x1; RTGEN 206-101 rtgen-warning x1,previous_agent,allo/reports/allo-strided_n256_wrap_csynth,no latency/interval from csynth: the two while loops have no trip-count bound; inner loop auto-pipelined at II=25 (HLS 200-880 memory dependence on the in-place real[]/img[] arrays)
allo-strided_n256_wrap_s_csynth,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",256,"strided_fft FFT_SIZE=256 wrap_io=True (seeded rerun, this agent)",,,,no,6562,7756,16,10,0,2.431,2.43,200,True,True,4.959e-06,HLS 200-880 II-violation(memory-dependence) x7; HLS 200-960 cannot-flatten-loop x1; RTGEN 206-101 rtgen-warning x1,this_agent,allo/reports/allo-strided_n256_wrap_s_csynth,no latency/interval from csynth: the two while loops have no trip-count bound; inner loop auto-pipelined at II=25 (HLS 200-880 memory dependence on the in-place real[]/img[] arrays)
allo-strided_n512_raw_csynth,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",512,strided_fft FFT_SIZE=512 wrap_io=False,,,,no,5895,6269,20,8,0,2.431,2.43,554,True,True,1.453e-05,HLS 200-880 II-violation(memory-dependence) x16; HLS 200-960 cannot-flatten-loop x1; RTGEN 206-101 rtgen-warning x1,previous_agent,allo/reports/allo-strided_n512_raw_csynth,no latency/interval from csynth: the two while loops have no trip-count bound; inner loop auto-pipelined at II=25 (HLS 200-880 memory dependence on the in-place real[]/img[] arrays)
allo-strided_n512_wrap_csynth,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",512,strided_fft FFT_SIZE=512 wrap_io=True,,,,no,6448,7710,16,12,0,2.516,2.43,463,True,True,1.453e-05,HLS 200-871 estimated-clock-exceeds-target x2; HLS 200-880 II-violation(memory-dependence) x7; HLS 200-960 cannot-flatten-loop x1; RTGEN 206-101 rtgen-warning x1,previous_agent,allo/reports/allo-strided_n512_wrap_csynth,no latency/interval from csynth: the two while loops have no trip-count bound; inner loop auto-pipelined at II=25 (HLS 200-880 memory dependence on the in-place real[]/img[] arrays)
allo-strided_n512_wrap_s_csynth,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",512,"strided_fft FFT_SIZE=512 wrap_io=True (seeded rerun, this agent)",,,,no,6448,7710,16,12,0,2.516,2.43,308,True,True,7.142e-06,HLS 200-871 estimated-clock-exceeds-target x2; HLS 200-880 II-violation(memory-dependence) x7; HLS 200-960 cannot-flatten-loop x1; RTGEN 206-101 rtgen-warning x1,this_agent,allo/reports/allo-strided_n512_wrap_s_csynth,no latency/interval from csynth: the two while loops have no trip-count bound; inner loop auto-pipelined at II=25 (HLS 200-880 memory dependence on the in-place real[]/img[] arrays)
