run_id,experiment_id,system,workload,numeric_semantics,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,steady_interval_cycles,transforms_streamed,lut,ff,dsp,bram_18k_equiv,bram_36k,bram_18k,uram,wns_ns,tns_ns,unrouted,hls_wall_s,synth_s,place_s,route_s,total_wall_s,interface,unroll_factor,report_paths,failure_reason,transform_size,config,ordering,stimulus,seeds,transforms_completed,cosim_wall_s,max_abs_error,max_norm_error,run_by,notes
allo-strided_n1024_raw_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",1024-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,327791,327764.0,4,,,,,,,,,,,958,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,"allo/reports/allo-strided_n1024_raw_cosim,allo/validation/allo-strided_n1024_raw_cosim",,1024,strided_fft FFT_SIZE=1024 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,2.187e-05,1.450e-07,previous_agent,"Vitis cosim transaction report: per-call latency [327791, 327749, 327749, 327749] (ap_start to ap_done via s_axi_control), call intervals [327792, 327750, 327750]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n1024_raw_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","1024-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,958,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,,P&R queued but not reached before the package was assembled (queue job 114_pnrallo_1024_raw; optional extra),1024,strided_fft FFT_SIZE=1024 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,,
allo-strided_n1024_wrap_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",1024-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,130299,130272.0,4,,,,,,,,,,,723,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,"allo/reports/allo-strided_n1024_wrap_cosim,allo/validation/allo-strided_n1024_wrap_cosim",,1024,strided_fft FFT_SIZE=1024 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,2.187e-05,1.450e-07,previous_agent,"Vitis cosim transaction report: per-call latency [130299, 130257, 130257, 130257] (ap_start to ap_done via s_axi_control), call intervals [130300, 130258, 130258]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n1024_wrap_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","1024-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,723,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,,P&R queued but not reached before the package was assembled (queue job 101_pnrallo_1024_wrap; optional extra),1024,strided_fft FFT_SIZE=1024 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,,
allo-strided_n128_raw_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",128-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,27430,27403.0,4,,,,,,,,,,,307,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,"allo/reports/allo-strided_n128_raw_cosim,allo/validation/allo-strided_n128_raw_cosim",,128,strided_fft FFT_SIZE=128 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,4.872e-06,1.497e-07,previous_agent,"Vitis cosim transaction report: per-call latency [27430, 27388, 27388, 27388] (ap_start to ap_done via s_axi_control), call intervals [27431, 27389, 27389]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n128_raw_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","128-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,307,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,,P&R queued but not reached before the package was assembled (queue job 115_pnrallo_128_raw; optional extra),128,strided_fft FFT_SIZE=128 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,,
allo-strided_n128_wrap_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",128-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,11586,11559.0,4,,,,,,,,,,,245,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,"allo/reports/allo-strided_n128_wrap_cosim,allo/validation/allo-strided_n128_wrap_cosim",,128,strided_fft FFT_SIZE=128 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,4.872e-06,1.497e-07,previous_agent,"Vitis cosim transaction report: per-call latency [11586, 11544, 11544, 11544] (ap_start to ap_done via s_axi_control), call intervals [11587, 11545, 11545]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n128_wrap_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","128-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,245,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,,P&R queued but not reached before the package was assembled (queue job 102_pnrallo_128_wrap; optional extra),128,strided_fft FFT_SIZE=128 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,,
allo-strided_n256_raw_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",256-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,63849,63822.0,4,,,,,,,,,,,370,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,"allo/reports/allo-strided_n256_raw_cosim,allo/validation/allo-strided_n256_raw_cosim",,256,strided_fft FFT_SIZE=256 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,9.707e-06,1.273e-07,previous_agent,"Vitis cosim transaction report: per-call latency [63849, 63807, 63807, 63807] (ap_start to ap_done via s_axi_control), call intervals [63850, 63808, 63808]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n256_raw_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","256-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,370,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,,P&R queued but not reached before the package was assembled (queue job 113_pnrallo_256_raw; optional extra),256,strided_fft FFT_SIZE=256 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,,
allo-strided_n256_wrap_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",256-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,26261,26234.0,4,,,,,,,,,,,291,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,"allo/reports/allo-strided_n256_wrap_cosim,allo/validation/allo-strided_n256_wrap_cosim",,256,strided_fft FFT_SIZE=256 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,9.707e-06,1.273e-07,previous_agent,"Vitis cosim transaction report: per-call latency [26261, 26219, 26219, 26219] (ap_start to ap_done via s_axi_control), call intervals [26262, 26220, 26220]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n256_wrap_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","256-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,291,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,,P&R queued but not reached before the package was assembled (queue job 100_pnrallo_256_wrap; optional extra),256,strided_fft FFT_SIZE=256 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,,
allo-strided_n512_raw_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",512-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,145772,145745.0,4,,,,,,,,,,,554,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,"allo/reports/allo-strided_n512_raw_cosim,allo/validation/allo-strided_n512_raw_cosim",,512,strided_fft FFT_SIZE=512 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,1.453e-05,1.330e-07,previous_agent,"Vitis cosim transaction report: per-call latency [145772, 145730, 145730, 145730] (ap_start to ap_done via s_axi_control), call intervals [145773, 145731, 145731]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n512_raw_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","512-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,554,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,,P&R queued but not reached before the package was assembled (queue job 116_pnrallo_512_raw; optional extra),512,strided_fft FFT_SIZE=512 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,,
allo-strided_n512_wrap_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",512-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,58808,58781.0,4,,,,,,,,,,,463,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,"allo/reports/allo-strided_n512_wrap_cosim,allo/validation/allo-strided_n512_wrap_cosim",,512,strided_fft FFT_SIZE=512 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,1.453e-05,1.330e-07,previous_agent,"Vitis cosim transaction report: per-call latency [58808, 58766, 58766, 58766] (ap_start to ap_done via s_axi_control), call intervals [58809, 58767, 58767]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n512_wrap_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","512-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,463,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,,P&R queued but not reached before the package was assembled (queue job 103_pnrallo_512_wrap; optional extra),512,strided_fft FFT_SIZE=512 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,,
