run_id,system,transform_size,config,unroll_factor,latency_cycles,interval_cycles,pipeline_type,lut,ff,dsp,bram_18k,uram,timing_estimate_ns,timing_budget_ns,hls_wall_s,csim_pass,cmodel_validation_pass,cmodel_max_abs_error,ignored_directives,run_by,report_paths,notes
hpfft_n1024_UF1_csynth,HP-FFT,1024,UF1,1,5809,531,dataflow,37166,34081,96,96,0,2.646,2.43,59,True,True,2.608e-05,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x8; HLS 200-805 internal-stream-default-depth x1; HLS 200-871 estimated-clock-exceeds-target x9; HLS 207-5573 performance-pragma-ignored(not-in-loop) x4; HLS 214-111 static-in-dataflow-treated-local x12; HLS 214-114 non-canonical-dataflow-region x3,previous_agent,hpfft/reports/hpfft_n1024_UF1_csynth,HLS timing estimate exceeds the budget (HLS 200-871); synthesis continued
hpfft_n1024_UF1_s_csynth,HP-FFT,1024,"UF1 (seeded rerun, this agent)",1,5809,531,dataflow,37166,34081,96,96,0,2.646,2.43,70,True,True,1.561e-05,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x8; HLS 200-805 internal-stream-default-depth x1; HLS 200-871 estimated-clock-exceeds-target x9; HLS 207-5573 performance-pragma-ignored(not-in-loop) x4; HLS 214-111 static-in-dataflow-treated-local x12; HLS 214-114 non-canonical-dataflow-region x3,this_agent,hpfft/reports/hpfft_n1024_UF1_s_csynth,HLS timing estimate exceeds the budget (HLS 200-871); synthesis continued
hpfft_n1024_UF16_csynth,HP-FFT,1024,UF16,16,680,180,dataflow,361108,460962,1173,0,0,2.613,2.43,546,True,True,2.608e-05,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x7; HLS 200-805 internal-stream-default-depth x2; HLS 200-885 II-violation x4; HLS 207-5573 performance-pragma-ignored(not-in-loop) x4; HLS 214-111 static-in-dataflow-treated-local x9; HLS 214-114 non-canonical-dataflow-region x2; HLS 214-189 pipeline-directive-removed(loop-fully-unrolled) x4; HLS 214-358 index-bit-extension x5; RTGEN 206-101 rtgen-warning x7; SYN 201-303 memory-assignment-not-applied x348; perf-target-missed R_Pair_loop_R_Group_loop: target 32 achieved 160,previous_agent,hpfft/reports/hpfft_n1024_UF16_csynth,HLS timing estimate exceeds the budget (HLS 200-871); synthesis continued
hpfft_n1024_UF2_csynth,HP-FFT,1024,UF2,2,2736,276,dataflow,62600,58364,192,88,0,2.619,2.43,78,True,True,2.608e-05,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x9; HLS 200-805 internal-stream-default-depth x2; HLS 200-871 estimated-clock-exceeds-target x6; HLS 207-5573 performance-pragma-ignored(not-in-loop) x5; HLS 214-111 static-in-dataflow-treated-local x11; HLS 214-114 non-canonical-dataflow-region x3; HLS 214-358 index-bit-extension x3; SYN 201-303 memory-assignment-not-applied x15,previous_agent,hpfft/reports/hpfft_n1024_UF2_csynth,HLS timing estimate exceeds the budget (HLS 200-871); synthesis continued
hpfft_n1024_UF2_s_csynth,HP-FFT,1024,"UF2 (seeded rerun, this agent)",2,2736,276,dataflow,62600,58364,192,88,0,2.619,2.43,77,True,True,1.561e-05,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x9; HLS 200-805 internal-stream-default-depth x2; HLS 200-871 estimated-clock-exceeds-target x6; HLS 207-5573 performance-pragma-ignored(not-in-loop) x5; HLS 214-111 static-in-dataflow-treated-local x11; HLS 214-114 non-canonical-dataflow-region x3; HLS 214-358 index-bit-extension x3; SYN 201-303 memory-assignment-not-applied x15,this_agent,hpfft/reports/hpfft_n1024_UF2_s_csynth,HLS timing estimate exceeds the budget (HLS 200-871); synthesis continued
hpfft_n1024_UF32_csynth,HP-FFT,1024,UF32,32,485,163,dataflow,708236,809440,2283,0,0,2.433,2.43,1179,True,,,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x7; HLS 200-805 internal-stream-default-depth x2; HLS 200-885 II-violation x6; HLS 207-5573 performance-pragma-ignored(not-in-loop) x4; HLS 214-111 static-in-dataflow-treated-local x9; HLS 214-114 non-canonical-dataflow-region x2; HLS 214-189 pipeline-directive-removed(loop-fully-unrolled) x4; HLS 214-358 index-bit-extension x5; RTGEN 206-101 rtgen-warning x175; SYN 201-303 memory-assignment-not-applied x843; perf-target-missed R_Pair_loop_R_Group_loop: target 16 achieved 144,previous_agent,hpfft/reports/hpfft_n1024_UF32_csynth,HLS timing estimate exceeds the budget (HLS 200-871); synthesis continued
hpfft_n1024_UF4_csynth,HP-FFT,1024,UF4,4,1575,1576,dataflow,115671,106246,354,112,0,2.619,2.43,96,True,True,2.608e-05,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x6; HLS 200-805 internal-stream-default-depth x2; HLS 200-871 estimated-clock-exceeds-target x5; HLS 200-960 cannot-flatten-loop x1; HLS 207-5573 performance-pragma-ignored(not-in-loop) x6; HLS 214-111 static-in-dataflow-treated-local x9; HLS 214-114 non-canonical-dataflow-region x2; HLS 214-189 pipeline-directive-removed(loop-fully-unrolled) x1; HLS 214-358 index-bit-extension x3; SYN 201-303 memory-assignment-not-applied x48,previous_agent,hpfft/reports/hpfft_n1024_UF4_csynth,HLS timing estimate exceeds the budget (HLS 200-871); synthesis continued
hpfft_n1024_UF4_s_csynth,HP-FFT,1024,"UF4 (seeded rerun, this agent)",4,1575,1576,dataflow,115671,106246,354,112,0,2.619,2.43,94,True,True,1.561e-05,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x6; HLS 200-805 internal-stream-default-depth x2; HLS 200-871 estimated-clock-exceeds-target x5; HLS 200-960 cannot-flatten-loop x1; HLS 207-5573 performance-pragma-ignored(not-in-loop) x6; HLS 214-111 static-in-dataflow-treated-local x9; HLS 214-114 non-canonical-dataflow-region x2; HLS 214-189 pipeline-directive-removed(loop-fully-unrolled) x1; HLS 214-358 index-bit-extension x3; SYN 201-303 memory-assignment-not-applied x48,this_agent,hpfft/reports/hpfft_n1024_UF4_s_csynth,HLS timing estimate exceeds the budget (HLS 200-871); synthesis continued
hpfft_n1024_UF8_csynth,HP-FFT,1024,UF8,8,946,211,dataflow,214522,203261,615,0,0,2.322,2.43,167,True,True,2.608e-05,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x9; HLS 200-805 internal-stream-default-depth x2; HLS 200-885 II-violation x2; HLS 207-5573 performance-pragma-ignored(not-in-loop) x5; HLS 214-111 static-in-dataflow-treated-local x11; HLS 214-114 non-canonical-dataflow-region x3; HLS 214-189 pipeline-directive-removed(loop-fully-unrolled) x1; HLS 214-358 index-bit-extension x5; RTGEN 206-101 rtgen-warning x35; SYN 201-303 memory-assignment-not-applied x137; perf-target-missed R_Pair_loop_R_Group_loop: target 64 achieved 192,previous_agent,hpfft/reports/hpfft_n1024_UF8_csynth,
hpfft_n1024_no_StagePipeline_csynth,HP-FFT,1024,no_StagePipeline,,11018,11019,no,5122,7481,48,13,0,2.4,2.43,45,True,True,2.608e-05,HLS 200-960 cannot-flatten-loop x1,previous_agent,hpfft/reports/hpfft_n1024_no_StagePipeline_csynth,
hpfft_n1024_original_C_style_csynth,HP-FFT,1024,original_C_style,,106033,106034,no,19593,18404,206,11,0,2.604,2.43,56,True,True,2.608e-05,HLS 200-871 estimated-clock-exceeds-target x1; HLS 200-880 II-violation(memory-dependence) x14; HLS 200-885 II-violation x4; HLS 200-960 cannot-flatten-loop x1; HLS 214-358 index-bit-extension x1,previous_agent,hpfft/reports/hpfft_n1024_original_C_style_csynth,HLS timing estimate exceeds the budget (HLS 200-871); synthesis continued
hpfft-derived_n128_UF1_csynth,"HP-FFT (derived size, see README)",128,UF1,1,632,83,dataflow,21311,23503,60,0,0,2.541,2.43,47,True,True,4.446e-06,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x8; HLS 200-805 internal-stream-default-depth x1; HLS 200-871 estimated-clock-exceeds-target x3; HLS 207-5573 performance-pragma-ignored(not-in-loop) x4; HLS 214-111 static-in-dataflow-treated-local x9; HLS 214-114 non-canonical-dataflow-region x3,previous_agent,hpfft/reports/hpfft-derived_n128_UF1_csynth,HLS timing estimate exceeds the budget (HLS 200-871); synthesis continued
hpfft-derived_n128_UF1_s_csynth,"HP-FFT (derived size, see README)",128,"UF1 (seeded rerun, this agent)",1,632,83,dataflow,21311,23503,60,0,0,2.541,2.43,51,True,True,3.227e-06,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x8; HLS 200-805 internal-stream-default-depth x1; HLS 200-871 estimated-clock-exceeds-target x3; HLS 207-5573 performance-pragma-ignored(not-in-loop) x4; HLS 214-111 static-in-dataflow-treated-local x9; HLS 214-114 non-canonical-dataflow-region x3,this_agent,hpfft/reports/hpfft-derived_n128_UF1_s_csynth,HLS timing estimate exceeds the budget (HLS 200-871); synthesis continued
hpfft-derived_n128_UF16_csynth,"HP-FFT (derived size, see README)",128,UF16,16,160,40,dataflow,226457,234575,597,0,0,2.613,2.43,195,True,,,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x7; HLS 200-805 internal-stream-default-depth x2; HLS 200-885 II-violation x4; HLS 207-5573 performance-pragma-ignored(not-in-loop) x4; HLS 214-111 static-in-dataflow-treated-local x6; HLS 214-114 non-canonical-dataflow-region x2; HLS 214-189 pipeline-directive-removed(loop-fully-unrolled) x4; HLS 214-358 index-bit-extension x5; RTGEN 206-101 rtgen-warning x1; SYN 201-303 memory-assignment-not-applied x315; perf-target-missed R_Pair_loop_R_Group_loop: target 4 achieved 20,previous_agent,hpfft/reports/hpfft-derived_n128_UF16_csynth,HLS timing estimate exceeds the budget (HLS 200-871); synthesis continued
hpfft-derived_n128_UF2_csynth,"HP-FFT (derived size, see README)",128,UF2,2,343,52,dataflow,36985,41414,120,0,0,2.322,2.43,52,True,True,4.446e-06,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x9; HLS 200-805 internal-stream-default-depth x2; HLS 207-5573 performance-pragma-ignored(not-in-loop) x5; HLS 214-111 static-in-dataflow-treated-local x8; HLS 214-114 non-canonical-dataflow-region x3; HLS 214-358 index-bit-extension x3; SYN 201-303 memory-assignment-not-applied x12,previous_agent,hpfft/reports/hpfft-derived_n128_UF2_csynth,
hpfft-derived_n128_UF32_csynth,"HP-FFT (derived size, see README)",128,UF32,32,126,23,dataflow,502571,498409,1470,0,0,2.433,2.43,476,True,,,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x7; HLS 200-805 internal-stream-default-depth x2; HLS 207-5573 performance-pragma-ignored(not-in-loop) x4; HLS 214-111 static-in-dataflow-treated-local x6; HLS 214-114 non-canonical-dataflow-region x2; HLS 214-189 pipeline-directive-removed(loop-fully-unrolled) x4; HLS 214-358 index-bit-extension x5; RTGEN 206-101 rtgen-warning x118; SYN 201-303 memory-assignment-not-applied x768,previous_agent,hpfft/reports/hpfft-derived_n128_UF32_csynth,HLS timing estimate exceeds the budget (HLS 200-871); synthesis continued
hpfft-derived_n128_UF4_csynth,"HP-FFT (derived size, see README)",128,UF4,4,234,232,dataflow,78982,73610,210,0,0,2.368,2.43,65,True,True,4.446e-06,HLS 200-471 dataflow-form-issues x1; HLS 200-656 possible-deadlock(auto-rewind-in-dataflow) x6; HLS 200-805 internal-stream-default-depth x2; HLS 200-885 II-violation x1; HLS 200-960 cannot-flatten-loop x1; HLS 207-5573 performance-pragma-ignored(not-in-loop) x6; HLS 214-111 static-in-dataflow-treated-local x6; HLS 214-114 non-canonical-dataflow-region x2; HLS 214-189 pipeline-directive-removed(loop-fully-unrolled) x1; HLS 214-358 index-bit-extension x3; SYN 201-303 memory-assignment-not-applied x42,previous_agent,hpfft/reports/hpfft-derived_n128_UF4_csynth,
