run_id,experiment_id,system,workload,numeric_semantics,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,steady_interval_cycles,transforms_streamed,lut,ff,dsp,bram_18k_equiv,bram_36k,bram_18k,uram,wns_ns,tns_ns,unrouted,hls_wall_s,synth_s,place_s,route_s,total_wall_s,interface,unroll_factor,report_paths,failure_reason,transform_size,config,ordering,stimulus,seeds,transforms_completed,cosim_wall_s,max_abs_error,max_norm_error,run_by,notes
hpfft_n1024_UF1_cosim,E2,HP-FFT,1024-point radix-2 complex FFT; 33 transforms streamed back-to-back through one FFT_TOP,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,6298,6809,525.5,33,,,,,,,,,,,70,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,2>>, 128-bit data each way = 2 complex float32 samples per beat, 512 beats per transform; block control ap_ctrl_hs",1,"hpfft/reports/hpfft_n1024_UF1_cosim,hpfft/validation/hpfft_n1024_UF1_cosim",,1024,UF1,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)","numpy.random.RandomState seeds 0/1/2, re,im ~ U[-1,1) float32; 33 transforms = 11 per seed","0,1,2",32,796,1.561e-05,2.131e-07,this_agent,"steady interval = mean of the last 24 completion-to-completion distances (median 525.5, min 522, max 529); 32/33 transforms completed: the last transform fed is never flushed without a following transform (top-level ap_done never fires, HLS 200-656); intervals over the completed ones; batch of 32 transforms complete at cycle 23096 after the first input beat; ap_done pulses 32; input stall cycles in transform 0: 0; per seed: seed 0: pass (11 transforms, max abs err 1.56e-05), seed 1: pass (11 transforms, max abs err 1.26e-05), seed 2: pass (10 transforms, max abs err 1.14e-05); unchecked transforms [32]; RTL outputs read from the out_r port handshakes in the VCD"
hpfft_n1024_UF1_cosim_lcg,E2,HP-FFT,1024-point radix-2 complex FFT; 32 transforms streamed back-to-back through one FFT_TOP,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,6298,6809,525.7,32,,,,,,,,,,,59,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,2>>, 128-bit data each way = 2 complex float32 samples per beat, 512 beats per transform; block control ap_ctrl_hs",1,"hpfft/reports/hpfft_n1024_UF1_cosim_lcg,hpfft/validation/hpfft_n1024_UF1_cosim_lcg",,1024,UF1,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)","transform 0 = HP-FFT shipped test signal, transforms 1..31 = LCG(0x12345678) U[-1,1)",,31,1026,2.608e-05,1.668e-07,previous_agent,"steady interval = mean of the last 23 completion-to-completion distances (median 529, min 522, max 529); 31/32 transforms completed: the last transform fed is never flushed without a following transform (top-level ap_done never fires, HLS 200-656); intervals over the completed ones; batch of 31 transforms complete at cycle 22574 after the first input beat; ap_done pulses 31; input stall cycles in transform 0: 0; 31 transforms checked; RTL outputs read from the out_r port handshakes in the VCD"
hpfft_n1024_UF1_pnr,E2,HP-FFT,"1024-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,ok,,,,,,29316,28835,96,104,48,8,0,0.261,0.0,0,59,584,465,152,1328,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,2>>, 128-bit data each way = 2 complex float32 samples per beat, 512 beats per transform; block control ap_ctrl_hs",1,hpfft/reports/hpfft_n1024_UF1_pnr,,1024,UF1,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,previous_agent,"opt 45 s, phys_opt 8 s; 0 failing of 69795 endpoints; WHS 0.019 ns; routable nets 60174, routing errors 0"
hpfft_n1024_UF16_cosim,E2,HP-FFT,1024-point radix-2 complex FFT; 32 transforms streamed back-to-back through one FFT_TOP,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,609,640,170.0,32,,,,,,,,,,,546,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,32>>, 2048-bit data each way = 32 complex float32 samples per beat, 32 beats per transform; block control ap_ctrl_hs",16,"hpfft/reports/hpfft_n1024_UF16_cosim,hpfft/validation/hpfft_n1024_UF16_cosim",,1024,UF16,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)","transform 0 = HP-FFT shipped test signal, transforms 1..31 = LCG(0x12345678) U[-1,1)",,31,1220,2.608e-05,1.668e-07,previous_agent,"steady interval = mean of the last 23 completion-to-completion distances (median 170, min 170, max 170); 31/32 transforms completed: the last transform fed is never flushed without a following transform (top-level ap_done never fires, HLS 200-656); intervals over the completed ones; batch of 31 transforms complete at cycle 5740 after the first input beat; ap_done pulses 31; input stall cycles in transform 0: 0; 31 transforms checked; RTL outputs read from the out_r port handshakes in the VCD"
hpfft_n1024_UF16_pnr,E2,HP-FFT,"1024-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,546,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,32>>, 2048-bit data each way = 32 complex float32 samples per beat, 32 beats per transform; block control ap_ctrl_hs",16,,"P&R deferred: optional extra, HLS estimate 361108 LUTs; an OOC P&R of that size takes hours on the shared machine (queue job 030_pnr_n1024_UF16 in queue_pnr/deferred)",1024,UF16,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft_n1024_UF2_cosim,E2,HP-FFT,1024-point radix-2 complex FFT; 33 transforms streamed back-to-back through one FFT_TOP,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,2979,3234,266.0,33,,,,,,,,,,,77,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,4>>, 256-bit data each way = 4 complex float32 samples per beat, 256 beats per transform; block control ap_ctrl_hs",2,"hpfft/reports/hpfft_n1024_UF2_cosim,hpfft/validation/hpfft_n1024_UF2_cosim",,1024,UF2,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)","numpy.random.RandomState seeds 0/1/2, re,im ~ U[-1,1) float32; 33 transforms = 11 per seed","0,1,2",32,748,1.561e-05,2.131e-07,this_agent,"steady interval = mean of the last 24 completion-to-completion distances (median 266.0, min 266, max 266); 32/33 transforms completed: the last transform fed is never flushed without a following transform (top-level ap_done never fires, HLS 200-656); intervals over the completed ones; batch of 32 transforms complete at cycle 11480 after the first input beat; ap_done pulses 32; input stall cycles in transform 0: 0; per seed: seed 0: pass (11 transforms, max abs err 1.56e-05), seed 1: pass (11 transforms, max abs err 1.26e-05), seed 2: pass (10 transforms, max abs err 1.14e-05); unchecked transforms [32]; RTL outputs read from the out_r port handshakes in the VCD"
hpfft_n1024_UF2_cosim_lcg,E2,HP-FFT,1024-point radix-2 complex FFT; 32 transforms streamed back-to-back through one FFT_TOP,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,2979,3234,266.0,32,,,,,,,,,,,78,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,4>>, 256-bit data each way = 4 complex float32 samples per beat, 256 beats per transform; block control ap_ctrl_hs",2,"hpfft/reports/hpfft_n1024_UF2_cosim_lcg,hpfft/validation/hpfft_n1024_UF2_cosim_lcg",,1024,UF2,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)","transform 0 = HP-FFT shipped test signal, transforms 1..31 = LCG(0x12345678) U[-1,1)",,31,1003,2.608e-05,1.668e-07,previous_agent,"steady interval = mean of the last 23 completion-to-completion distances (median 266, min 266, max 266); 31/32 transforms completed: the last transform fed is never flushed without a following transform (top-level ap_done never fires, HLS 200-656); intervals over the completed ones; batch of 31 transforms complete at cycle 11214 after the first input beat; ap_done pulses 31; input stall cycles in transform 0: 0; 31 transforms checked; RTL outputs read from the out_r port handshakes in the VCD"
hpfft_n1024_UF2_pnr,E2,HP-FFT,"1024-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,ok,,,,,,60287,46729,180,164,64,36,0,0.15,0.0,0,78,466,555,204,1369,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,4>>, 256-bit data each way = 4 complex float32 samples per beat, 256 beats per transform; block control ap_ctrl_hs",2,hpfft/reports/hpfft_n1024_UF2_pnr,,1024,UF2,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,previous_agent,"opt 57 s, phys_opt 15 s; 0 failing of 132822 endpoints; WHS 0.009 ns; routable nets 112037, routing errors 0"
hpfft_n1024_UF32_cosim,E2,HP-FFT,1024-point radix-2 complex FFT,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,not_run,,,,,,,,,,,,,,,,,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,64>>, 4096-bit data each way = 64 complex float32 samples per beat, 16 beats per transform; block control ap_ctrl_hs",32,,RTL cosimulation not run (optional extra: the previous agent's queue did not reach it and it was not re-queued; csynth row in hls_estimates.csv),1024,UF32,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft_n1024_UF32_pnr,E2,HP-FFT,"1024-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,1179,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,64>>, 4096-bit data each way = 64 complex float32 samples per beat, 16 beats per transform; block control ap_ctrl_hs",32,,"P&R deferred: optional extra, HLS estimate 708236 LUTs; an OOC P&R of that size takes hours on the shared machine (queue job 040_pnr_n1024_UF32 in queue_pnr/deferred)",1024,UF32,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
