run_id,experiment_id,system,variant,M,d,groups,pe_count,dsp_count,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,cycles_per_query_row,lut,ff,dsp,bram_18k_equiv,uram,wns_ns,tns_ns,unrouted,hls_wall_s,total_wall_s,report_paths,failure_reason
spmw_cap42_4096_cosim_s0,E6,SPMW conventional,paper_ungrouped_4x2,4096,2,1,8,8,cosim,300,ok,True,22,5483,1.3386,,,,,,,,,82.1,236.7,reports/spmw_cap42_4096_cosim_s0/run.json;validation/spmw_cap42_4096_cosim_s0,
spmw_cap42_4096_cosim_s1,E6,SPMW conventional,paper_ungrouped_4x2,4096,2,1,8,8,cosim,300,ok,True,22,5483,1.3386,,,,,,,,,82.1,236.7,reports/spmw_cap42_4096_cosim_s1/run.json;validation/spmw_cap42_4096_cosim_s1,
spmw_cap42_4096_cosim_s2,E6,SPMW conventional,paper_ungrouped_4x2,4096,2,1,8,8,cosim,300,ok,True,22,5483,1.3386,,,,,,,,,82.1,236.7,reports/spmw_cap42_4096_cosim_s2/run.json;validation/spmw_cap42_4096_cosim_s2,
spmw_cap42_4096_pnr,E6,SPMW conventional,paper_ungrouped_4x2,4096,2,1,8,8,pnr_ooc,300,ok,,,,,529,1065,8,0,0,1.437,0.0,0,67.7,490.6,reports/spmw_cap42_4096_pnr/run.json;reports/spmw_cap42_4096_pnr/util.rpt;reports/spmw_cap42_4096_pnr/util_synth.rpt;reports/spmw_cap42_4096_pnr/timing.rpt;reports/spmw_cap42_4096_pnr/route.rpt;reports/spmw_cap42_4096_pnr/util_hier.rpt;reports/spmw_cap42_4096_pnr/vivado_pnr.log;reports/spmw_cap42_4096_pnr/assemble_pnr.tcl;reports/spmw_cap42_4096_pnr/clock.xdc,
spmw_cap42_6_cosim_s0,E6,SPMW conventional,paper_ungrouped_4x2,6,2,1,8,8,cosim,300,ok,True,20,29,4.8333,,,,,,,,,61.4,163.4,reports/spmw_cap42_6_cosim_s0/run.json;validation/spmw_cap42_6_cosim_s0,
spmw_cap42_6_cosim_s1,E6,SPMW conventional,paper_ungrouped_4x2,6,2,1,8,8,cosim,300,ok,True,20,29,4.8333,,,,,,,,,61.4,163.4,reports/spmw_cap42_6_cosim_s1/run.json;validation/spmw_cap42_6_cosim_s1,
spmw_cap42_6_cosim_s2,E6,SPMW conventional,paper_ungrouped_4x2,6,2,1,8,8,cosim,300,ok,True,20,29,4.8333,,,,,,,,,61.4,163.4,reports/spmw_cap42_6_cosim_s2/run.json;validation/spmw_cap42_6_cosim_s2,
spmw_cap42_64_cosim_s0,E6,SPMW conventional,paper_ungrouped_4x2,64,2,1,8,8,cosim,300,ok,True,22,107,1.6719,,,,,,,,,75.5,187.8,reports/spmw_cap42_64_cosim_s0/run.json;validation/spmw_cap42_64_cosim_s0,
spmw_cap42_64_cosim_s1,E6,SPMW conventional,paper_ungrouped_4x2,64,2,1,8,8,cosim,300,ok,True,22,107,1.6719,,,,,,,,,75.5,187.8,reports/spmw_cap42_64_cosim_s1/run.json;validation/spmw_cap42_64_cosim_s1,
spmw_cap42_64_cosim_s2,E6,SPMW conventional,paper_ungrouped_4x2,64,2,1,8,8,cosim,300,ok,True,22,107,1.6719,,,,,,,,,75.5,187.8,reports/spmw_cap42_64_cosim_s2/run.json;validation/spmw_cap42_64_cosim_s2,
spmw_cap44_4096_cosim_s0,E6,SPMW grouped,paper_grouped_4x4,4096,2,2,16,16,cosim,300,ok,True,42,5499,1.3425,,,,,,,,,83.1,247.5,reports/spmw_cap44_4096_cosim_s0/run.json;validation/spmw_cap44_4096_cosim_s0,
spmw_cap44_4096_cosim_s1,E6,SPMW grouped,paper_grouped_4x4,4096,2,2,16,16,cosim,300,ok,True,42,5499,1.3425,,,,,,,,,83.1,247.5,reports/spmw_cap44_4096_cosim_s1/run.json;validation/spmw_cap44_4096_cosim_s1,
spmw_cap44_4096_cosim_s2,E6,SPMW grouped,paper_grouped_4x4,4096,2,2,16,16,cosim,300,ok,True,42,5499,1.3425,,,,,,,,,83.1,247.5,reports/spmw_cap44_4096_cosim_s2/run.json;validation/spmw_cap44_4096_cosim_s2,
