run_id,system,variant,M,seed,passes,pass_totals_all_lanes,pass_totals_result_lanes,pass_first_out,completion_all_lanes,completion_result_lanes,first_output,row_done_first,row_done_last,rtl_equals_ref,ref_equals_numpy,harness,xelab_s,xsim_s
spmw_cap42_4096_cosim_s0,SPMW conventional,paper_ungrouped_4x2,4096,0,1,5483,5483,22,5483,5483,22,27,5483,True,True,"SPMW COSIM PASS (8192/8192 tokens, 0 errors)",25.4,10.2
spmw_cap42_4096_cosim_s1,SPMW conventional,paper_ungrouped_4x2,4096,1,1,5483,5483,22,5483,5483,22,27,5483,True,True,"SPMW COSIM PASS (8192/8192 tokens, 0 errors)",21.5,10.2
spmw_cap42_4096_cosim_s2,SPMW conventional,paper_ungrouped_4x2,4096,2,1,5483,5483,22,5483,5483,22,27,5483,True,True,"SPMW COSIM PASS (8192/8192 tokens, 0 errors)",20.4,9.3
spmw_cap42_6_cosim_s0,SPMW conventional,paper_ungrouped_4x2,6,0,1,29,29,20,29,29,20,24,29,True,True,"SPMW COSIM PASS (12/12 tokens, 0 errors)",14.6,9.4
spmw_cap42_6_cosim_s1,SPMW conventional,paper_ungrouped_4x2,6,1,1,29,29,20,29,29,20,24,29,True,True,"SPMW COSIM PASS (12/12 tokens, 0 errors)",14.0,9.0
spmw_cap42_6_cosim_s2,SPMW conventional,paper_ungrouped_4x2,6,2,1,29,29,20,29,29,20,24,29,True,True,"SPMW COSIM PASS (12/12 tokens, 0 errors)",14.8,8.2
spmw_cap42_64_cosim_s0,SPMW conventional,paper_ungrouped_4x2,64,0,1,107,107,22,107,107,22,27,107,True,True,"SPMW COSIM PASS (128/128 tokens, 0 errors)",13.5,9.6
spmw_cap42_64_cosim_s1,SPMW conventional,paper_ungrouped_4x2,64,1,1,107,107,22,107,107,22,27,107,True,True,"SPMW COSIM PASS (128/128 tokens, 0 errors)",13.6,9.7
spmw_cap42_64_cosim_s2,SPMW conventional,paper_ungrouped_4x2,64,2,1,107,107,22,107,107,22,27,107,True,True,"SPMW COSIM PASS (128/128 tokens, 0 errors)",13.2,7.9
spmw_cap44_4096_cosim_s0,SPMW grouped,paper_grouped_4x4,4096,0,1,5499,5499,42,5499,5499,42,47,5499,True,True,"SPMW COSIM PASS (8192/8192 tokens, 0 errors)",25.8,9.6
spmw_cap44_4096_cosim_s1,SPMW grouped,paper_grouped_4x4,4096,1,1,5499,5499,42,5499,5499,42,47,5499,True,True,"SPMW COSIM PASS (8192/8192 tokens, 0 errors)",21.3,10.6
spmw_cap44_4096_cosim_s2,SPMW grouped,paper_grouped_4x4,4096,2,1,5499,5499,42,5499,5499,42,47,5499,True,True,"SPMW COSIM PASS (8192/8192 tokens, 0 errors)",24.9,9.9
spmw_cap44_6_cosim_s0,SPMW grouped,paper_grouped_4x4,6,0,1,45,45,36,45,45,36,40,45,True,True,"SPMW COSIM PASS (12/12 tokens, 0 errors)",13.0,7.8
spmw_cap44_6_cosim_s1,SPMW grouped,paper_grouped_4x4,6,1,1,45,45,36,45,45,36,40,45,True,True,"SPMW COSIM PASS (12/12 tokens, 0 errors)",12.0,8.0
spmw_cap44_6_cosim_s2,SPMW grouped,paper_grouped_4x4,6,2,1,45,45,36,45,45,36,40,45,True,True,"SPMW COSIM PASS (12/12 tokens, 0 errors)",15.6,10.7
spmw_cap44_64_cosim_s0,SPMW grouped,paper_grouped_4x4,64,0,1,123,123,42,123,123,42,47,123,True,True,"SPMW COSIM PASS (128/128 tokens, 0 errors)",14.4,8.3
spmw_cap44_64_cosim_s1,SPMW grouped,paper_grouped_4x4,64,1,1,123,123,42,123,123,42,47,123,True,True,"SPMW COSIM PASS (128/128 tokens, 0 errors)",10.9,8.8
spmw_cap44_64_cosim_s2,SPMW grouped,paper_grouped_4x4,64,2,1,123,123,42,123,123,42,47,123,True,True,"SPMW COSIM PASS (128/128 tokens, 0 errors)",15.4,14.4
spmw_conv_4096_cosim_s0,SPMW conventional,conventional_2pass,4096,0,2,4128+4128,4120+4120,21+21,8256,8240,4149,4145,8240,True,True,"SPMW COSIM PASS (32768/32768 tokens, 0 errors) | SPMW COSIM PASS (32768/32768 tokens, 0 errors)",24.9+25.6,9.9+8.4
spmw_conv_4096_cosim_s1,SPMW conventional,conventional_2pass,4096,1,2,4128+4128,4120+4120,21+21,8256,8240,4149,4145,8240,True,True,"SPMW COSIM PASS (32768/32768 tokens, 0 errors) | SPMW COSIM PASS (32768/32768 tokens, 0 errors)",23.7+39.0,10.2+9.5
spmw_conv_4096_cosim_s2,SPMW conventional,conventional_2pass,4096,2,2,4128+4128,4120+4120,21+21,8256,8240,4149,4145,8240,True,True,"SPMW COSIM PASS (32768/32768 tokens, 0 errors) | SPMW COSIM PASS (32768/32768 tokens, 0 errors)",28.6+22.8,10.3+8.0
